campaign,scenario_id,scenario_family,planner_key,seed_count,success_mean,success_ci_low,success_ci_high,collisions_mean,collisions_ci_low,collisions_ci_high,snqi_mean,snqi_ci_low,snqi_ci_high
issue_1454_s10_h500_candidates_2026-05-23,francis2023_entering_elevator,,goal,10,0.5,0.2,0.8,0.3,0.0,0.6,-0.02815478991870566,-0.1175797062207904,0.06225017623234963
issue_1454_s10_h500_candidates_2026-05-23,francis2023_entering_room,,goal,10,0.0,0.0,0.0,0.3,0.0,0.6,-0.1263616188848325,-0.15781224640896438,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_exiting_elevator,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.31030460929634035,-0.3501540721504869,-0.2706671711458682
issue_1454_s10_h500_candidates_2026-05-23,francis2023_exiting_room,,goal,10,0.0,0.0,0.0,0.3,0.0,0.6,-0.1263616188848325,-0.15781224640896438,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_following_human,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.1397843132660668,-0.19633503295872695,-0.09574741279157475
issue_1454_s10_h500_candidates_2026-05-23,francis2023_frontal_approach,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.2746091472477767,-0.2775449406127429,-0.27314125056529365
issue_1454_s10_h500_candidates_2026-05-23,francis2023_intersection_no_gesture,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09491099136070058,-0.09491099136070058,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_intersection_proceed,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09491099136070058,-0.09491099136070058,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_intersection_wait,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09491099136070058,-0.09491099136070058,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_join_group,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.2788790530146806,-0.28235401915173386,-0.276977956451231
issue_1454_s10_h500_candidates_2026-05-23,francis2023_leading_human,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09574741279157475,-0.09574741279157475,-0.09574741279157475
issue_1454_s10_h500_candidates_2026-05-23,francis2023_leave_group,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.2867941717741919,-0.2989753479658435,-0.27901283729522597
issue_1454_s10_h500_candidates_2026-05-23,francis2023_narrow_doorway,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.19974641644114027,-0.19974641644114027,-0.19974641644114027
issue_1454_s10_h500_candidates_2026-05-23,francis2023_narrow_hallway,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.27575355120881795,-0.2772383693251929,-0.272819757371833
issue_1454_s10_h500_candidates_2026-05-23,francis2023_parallel_traffic,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.3543441754355037,-0.4463801822901858,-0.2613296299004363
issue_1454_s10_h500_candidates_2026-05-23,francis2023_pedestrian_obstruction,,goal,10,0.0,0.0,0.0,0.7,0.4,1.0,-0.2748145180587177,-0.32624327617949317,-0.21684190940216685
issue_1454_s10_h500_candidates_2026-05-23,francis2023_pedestrian_overtaking,,goal,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.10772268129210186,-0.10872837445368239,-0.10705592339492138
issue_1454_s10_h500_candidates_2026-05-23,francis2023_perpendicular_traffic,,goal,10,0.1,0.0,0.3,0.4,0.1,0.7,-0.29202522174064427,-0.35365138423996106,-0.21710722053580656
issue_1454_s10_h500_candidates_2026-05-23,francis2023_robot_crowding,,goal,10,0.0,0.0,0.0,1.0,1.0,1.0,-0.44668553445703213,-0.47691698825120465,-0.42009567110967033
issue_1454_s10_h500_candidates_2026-05-23,francis2023_robot_overtaking,,goal,10,0.0,0.0,0.0,0.9,0.7,1.0,-0.3682091891601292,-0.3943479393095708,-0.3473398432416336
issue_1454_s10_h500_candidates_2026-05-23,classic_bottleneck_high,,hybrid_rule_v3_fast_progress,10,0.9,0.7,1.0,0.0,0.0,0.0,-0.18114052198493763,-0.21168874541729457,-0.1390259654328721
issue_1454_s10_h500_candidates_2026-05-23,classic_bottleneck_low,,hybrid_rule_v3_fast_progress,10,0.9,0.7,1.0,0.0,0.0,0.0,0.08265363011802959,0.041263779459995716,0.10553767813676075
issue_1454_s10_h500_candidates_2026-05-23,classic_bottleneck_medium,,hybrid_rule_v3_fast_progress,10,0.9,0.7,1.0,0.0,0.0,0.0,-0.17936369300970317,-0.1954836279773301,-0.15648695261751924
issue_1454_s10_h500_candidates_2026-05-23,classic_cross_trap_high,,hybrid_rule_v3_fast_progress,10,0.0,0.0,0.0,0.3,0.0,0.6,-0.3210532088258291,-0.3827780400697702,-0.2594372081838179
issue_1454_s10_h500_candidates_2026-05-23,classic_cross_trap_low,,hybrid_rule_v3_fast_progress,10,0.1,0.0,0.3,0.0,0.0,0.0,-0.18745805729391324,-0.2604050490439693,-0.1237549571529338
issue_1454_s10_h500_candidates_2026-05-23,classic_cross_trap_medium,,hybrid_rule_v3_fast_progress,10,0.0,0.0,0.0,0.2,0.0,0.45249999999999774,-0.22665743986625161,-0.3121135947512423,-0.1569076433562177
issue_1454_s10_h500_candidates_2026-05-23,classic_doorway_high,,hybrid_rule_v3_fast_progress,10,0.3,0.0,0.6,0.0,0.0,0.0,-0.43634271661648666,-0.6322255349998774,-0.299553641087141
issue_1454_s10_h500_candidates_2026-05-23,classic_doorway_low,,hybrid_rule_v3_fast_progress,10,0.6,0.3,0.9,0.0,0.0,0.0,-0.27963559968714335,-0.39356539723601913,-0.17210511565043962
issue_1454_s10_h500_candidates_2026-05-23,classic_doorway_medium,,hybrid_rule_v3_fast_progress,10,0.6,0.3,0.9,0.0,0.0,0.0,-0.2378259550648849,-0.37500282293063975,-0.11834398346363396
