"step","topology_status","hypothesis_count","hypothesis_ids","selected_hypothesis_id","selected_score","primary_route_remaining_m","best_alternative_id","best_alternative_remaining_m","primary_minus_best_alternative_remaining_m","missing_trace_fields"
31,"ok",2,"primary_route;masked_cell_71_79","","",11.588225272068867,"masked_cell_71_79",11.988225278029331,-0.4000000059604645,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
32,"ok",2,"primary_route;masked_cell_71_79","","",11.505382558359795,"masked_cell_71_79",11.622539847630955,-0.11715728927116054,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
33,"ok",2,"primary_route;masked_cell_87_79","","",11.539697133921885,"masked_cell_87_79",11.539697133921885,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
34,"ok",2,"primary_route;masked_cell_71_79","","",11.539697133921885,"masked_cell_71_79",11.539697133921885,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
35,"ok",2,"primary_route;masked_cell_87_79","","",11.456854420212812,"masked_cell_87_79",11.456854420212812,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
36,"ok",2,"primary_route;masked_cell_71_79","","",11.25685441723258,"masked_cell_71_79",11.374011706503742,-0.11715728927116231,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
37,"ok",2,"primary_route;masked_cell_87_79","","",11.374011706503742,"masked_cell_87_79",11.374011706503742,0,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
38,"ok",2,"primary_route;masked_cell_87_79","","",11.17401170352351,"masked_cell_87_79",11.291168992794669,-0.11715728927115876,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
39,"ok",2,"primary_route;masked_cell_87_79","","",11.008326276105365,"masked_cell_87_79",11.291168992794669,-0.28284271668930394,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
40,"ok",2,"primary_route;masked_cell_87_79","","",10.808326273125132,"masked_cell_87_79",11.4911689957749,-0.6828427226497684,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
41,"ok",2,"primary_route;masked_cell_87_79","","",10.72548355941606,"masked_cell_87_79",11.52548357133699,-0.800000011920929,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
42,"ok",2,"primary_route;masked_cell_87_79","","",10.72548355941606,"masked_cell_87_79",11.408326282065829,-0.6828427226497684,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
