# AI-GENERATED NEEDS-REVIEW
step,time_s,min_robot_ped_distance_m,nearest_pedestrian_id
0,0.1,7.290662292414402,2
1,0.2,7.299821859297094,2
2,0.30000000000000004,7.304689065276068,2
3,0.4,7.304440201531975,2
4,0.5,7.298358052804475,2
5,0.6000000000000001,7.28580390384866,2
6,0.7000000000000001,7.266805493318347,2
7,0.8,7.241691915167306,2
8,0.9,7.211010712237864,2
9,1.0,7.170797403430558,2
10,1.1,7.127663961856343,2
11,1.2000000000000002,7.056871287124381,0
12,1.3,6.930285250037178,0
13,1.4000000000000001,6.799304233337903,0
14,1.5,6.6652649157321795,0
15,1.6,6.529995078501659,0
16,1.7000000000000002,6.3943620592293495,0
17,1.8,6.258999053032402,0
18,1.9000000000000001,6.124337656560731,0
19,2.0,5.990675915348661,0
20,2.1,5.858203127062775,0
21,2.2,5.7269642645086085,0
22,2.3000000000000003,5.596977338240351,0
23,2.4000000000000004,5.468231638256391,0
24,2.5,5.340693104201792,0
25,2.6,5.214311700761889,0
26,2.7,5.089029148166952,0
27,2.8000000000000003,4.964786079438692,0
28,2.9000000000000004,4.8415281140620765,0
29,3.0,4.719210694581693,0
30,3.1,4.597802716143762,0
31,3.2,4.477289241676501,0
32,3.3000000000000003,4.357674674638586,0
33,3.4000000000000004,4.238998678860912,0
34,3.5,4.121365715851967,0
35,3.6,4.00494629707888,0
36,3.7,3.889977638092441,0
37,3.8000000000000003,3.776763369569684,0
38,3.9000000000000004,3.665673972901471,0
39,4.0,3.557148261609142,0
40,4.1000000000000005,3.4516959940942193,0
41,4.2,3.3499014274179904,0
42,4.3,3.255083886060215,0
43,4.4,3.167667816016741,0
44,4.5,3.0882071010472325,0
45,4.6000000000000005,3.017051815623661,0
46,4.7,2.9536071416455982,0
47,4.800000000000001,2.898646094139345,0
48,4.9,2.8530285160657165,0
49,5.0,2.8176733097237046,0
50,5.1000000000000005,2.7935214390225473,0
51,5.2,2.781490134634341,0
52,5.300000000000001,2.78242062558688,0
53,5.4,2.7970237991474853,0
54,5.5,2.8258298565397877,0
55,5.6000000000000005,2.8691486014526597,0
56,5.7,2.9270460108837963,0
57,5.800000000000001,2.999340257240752,0
58,5.9,3.0856170386510877,0
59,6.0,3.185260925461696,0
60,6.1000000000000005,3.297497323172576,0
61,6.2,3.421438992799195,0
62,6.300000000000001,3.555507934626877,0
63,6.4,3.698887239867576,0
64,6.5,3.8507665110393177,0
65,6.6000000000000005,4.0102943893715,0
66,6.7,4.176609062851695,0
67,6.800000000000001,4.348941733493471,0
68,6.9,4.526623637690252,0
69,7.0,4.709047495177842,0
70,7.1000000000000005,4.8956637371127885,0
71,7.2,5.0859762526395444,0
72,7.300000000000001,5.279537965879841,0
73,7.4,5.475946448931346,0
74,7.5,6.178331483481031,1
75,7.6000000000000005,6.252490895027159,1
76,7.7,6.3317962562817005,1
77,7.800000000000001,6.416283173317122,1
78,7.9,6.5059695449278,1
79,8.0,6.600855080456802,1
80,8.1,6.701120312948036,1
81,8.200000000000001,6.807262388403626,1
82,8.3,6.91984481802047,1
83,8.4,7.039236362979167,1
84,8.5,7.165600643977937,1
85,8.6,7.298905626369124,1
86,8.700000000000001,7.43893491217755,1
87,8.8,7.585302089742634,1
88,8.9,7.737468343102516,1
89,9.0,7.894762792402357,1
90,9.1,8.05640454556409,1
