seed,steps,contact_step,undiscounted_return,discounted_return,outcome
225,101,100,-9.068099413077853,-1.8417560144093774,collision
226,100,99,-8.826230599672613,-1.7196165360634685,collision
227,93,92,-9.550401371903297,-2.531469768438222,collision
