scenario_matrix,scenario_matrix_hash,scenario_count,scenario_candidates,synthetic_actuation_profile,latency_stress_profile,planner_key,algo,human_model_variant,human_model_source,planner_group,benchmark_profile,observation_mode,kinematics,seed_policy.mode,seed_policy.seed_set,resolved_seeds,repeats,horizon_mode,horizon,scenario_horizons_path,paper_facing,paper_profile_version,observation_noise.profile,observation_noise.enabled,observation_noise_hash,config_hash,git_commit,campaign_id,created_at_utc
configs/scenarios/classic_interactions_francis2023.yaml,6b1f3a702703,48,[],,,orca,orca,,,core,baseline-safe,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,fixed,100,,False,,none,False,0a5609f0b2b1,21388260cdfa47a2,301edc874eeb693aae21a83da8b25c71a8bb8fef,issue_6095_stress_discriminability_v1_20260722_163914,2026-07-22T14:39:14.348377Z
configs/scenarios/classic_interactions_francis2023.yaml,6b1f3a702703,48,[],,,ppo,ppo,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,fixed,100,,False,,none,False,0a5609f0b2b1,21388260cdfa47a2,301edc874eeb693aae21a83da8b25c71a8bb8fef,issue_6095_stress_discriminability_v1_20260722_163914,2026-07-22T14:39:14.348377Z
