planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
orca,orca,cross_trap,30,0.0000,0.1667,0.1667,0.0000,0.1667,3.8333,1.0000,1.0000,0.0971,,'-0.2317
orca,orca,crossing,10,0.0000,0.1000,0.1000,0.0000,0.1000,0.6000,1.0000,1.0000,0.0080,,'-0.1202
orca,orca,crowd_navigation,10,0.0000,0.1000,0.1000,0.0000,0.1000,12.1000,1.0000,1.0000,0.1154,,'-0.5398
orca,orca,doorway,30,0.1000,0.0333,0.0333,0.0000,0.0333,14.2000,0.9840,1.0000,0.0196,,'-0.7547
orca,orca,down_path,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,entering_elevator,10,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8830,1.0000,0.0000,,'-0.1100
orca,orca,entering_room,10,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7660,1.0000,0.0000,,0.1178
orca,orca,exiting_elevator,10,0.4000,0.0000,0.0000,0.0000,0.0000,10.0000,0.9820,1.0000,0.0000,,'-0.6443
orca,orca,exiting_room,10,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8430,1.0000,0.0000,,0.0944
orca,orca,following_human,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0967
orca,orca,frontal_approach,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,group_crossing,30,0.8000,0.0333,0.0333,0.0000,0.0333,5.4667,0.9190,1.0000,0.0274,,'-0.0843
orca,orca,head_on_corridor,20,0.0000,0.1500,0.0500,0.1000,0.1500,4.6000,1.0000,1.0000,0.0335,,'-0.1936
orca,orca,intersection_no_gesture,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,intersection_proceed,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,intersection_wait,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
orca,orca,join_group,10,1.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.6940,1.0000,0.0764,,'-0.2666
orca,orca,leading_human,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0967
orca,orca,leave_group,10,0.7000,0.3000,0.3000,0.0000,0.3000,23.9000,0.7910,1.0000,0.0866,,'-0.2830
orca,orca,merging,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9989,0.0126,,'-0.1687
orca,orca,narrow_doorway,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.3911
orca,orca,narrow_hallway,10,0.0000,0.3000,0.0000,0.3000,0.3000,0.0000,1.0000,1.0000,0.0202,,'-1.1557
orca,orca,overtaking,20,0.0000,0.1000,0.1000,0.0000,0.1000,3.7000,1.0000,1.0000,0.0208,,'-0.3164
orca,orca,parallel_traffic,10,0.0000,0.0000,0.0000,0.0000,0.0000,9.3000,1.0000,1.0000,0.0519,,'-0.2871
orca,orca,pedestrian_obstruction,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,1.0000,1.0000,0.0000,,'-0.1008
orca,orca,pedestrian_overtaking,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0740,,'-0.1173
orca,orca,perpendicular_traffic,10,0.0000,0.0000,0.0000,0.0000,0.0000,2.1000,1.0000,1.0000,0.0163,,'-0.1435
orca,orca,robot_crowding,10,0.2000,0.4000,0.4000,0.0000,0.4000,20.5000,0.9770,0.9817,0.2142,,'-0.8207
orca,orca,robot_overtaking,10,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,1.0000,1.0000,0.0000,,'-0.2711
orca,orca,station_platform,10,0.0000,0.4000,0.4000,0.0000,0.4000,7.5000,1.0000,1.0000,0.0918,,'-0.2894
orca,orca,t_intersection,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0334,,'-0.2084
ppo,ppo,accompanying_peer,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1019
ppo,ppo,blind_corner,10,0.0000,0.2000,0.0000,0.2000,0.2000,0.0000,1.0000,1.0000,0.0000,,'-0.2685
ppo,ppo,bottleneck,40,0.0500,0.2500,0.0000,0.2500,0.2500,6.0250,0.9982,0.9951,0.0000,,'-0.3869
ppo,ppo,circular_crossing,10,0.9000,0.1000,0.1000,0.0000,0.1000,0.3000,0.6120,1.0000,0.0920,,'-0.1229
ppo,ppo,cross_trap,30,0.0000,0.2000,0.2000,0.0000,0.2000,8.7000,1.0000,0.9698,0.0981,,'-0.3850
ppo,ppo,crossing,10,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,0.0082,,'-0.2532
ppo,ppo,crowd_navigation,10,0.0000,0.0000,0.0000,0.0000,0.0000,13.6000,1.0000,1.0000,0.1116,,'-0.5292
ppo,ppo,doorway,30,0.2333,0.3667,0.2000,0.1667,0.3667,8.8000,0.9317,1.0000,0.0165,,'-0.8724
ppo,ppo,down_path,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1032
ppo,ppo,entering_elevator,10,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4700,1.0000,0.0000,,'-0.1072
ppo,ppo,entering_room,10,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7730,1.0000,0.0000,,'-0.1022
ppo,ppo,exiting_elevator,10,0.9000,0.1000,0.0000,0.1000,0.1000,10.5000,0.5690,1.0000,0.0000,,'-0.3286
ppo,ppo,exiting_room,10,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7970,1.0000,0.0000,,'-0.0889
ppo,ppo,following_human,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1014
ppo,ppo,frontal_approach,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1039
ppo,ppo,group_crossing,30,0.8000,0.0333,0.0333,0.0000,0.0333,3.7000,0.9160,1.0000,0.0194,,'-0.2515
ppo,ppo,head_on_corridor,20,0.0000,0.1000,0.0000,0.1000,0.1000,3.3000,1.0000,0.8445,0.0335,,'-0.2870
ppo,ppo,intersection_no_gesture,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2975
ppo,ppo,intersection_proceed,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.3041
ppo,ppo,intersection_wait,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.3041
ppo,ppo,join_group,10,1.0000,0.0000,0.0000,0.0000,0.0000,10.8000,0.5750,1.0000,0.0185,,'-0.2692
ppo,ppo,leading_human,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0999
ppo,ppo,leave_group,10,1.0000,0.0000,0.0000,0.0000,0.0000,20.9000,0.5750,1.0000,0.0507,,'-0.3902
ppo,ppo,merging,20,0.0000,0.0000,0.0000,0.0000,0.0000,1.1500,1.0000,0.8953,0.0126,,'-0.2300
ppo,ppo,narrow_doorway,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.3017
ppo,ppo,narrow_hallway,10,0.0000,0.9000,0.0000,0.9000,0.9000,2.3000,1.0000,1.0000,0.0214,,'-0.9308
ppo,ppo,overtaking,20,0.0000,0.0000,0.0000,0.0000,0.0000,6.9000,1.0000,0.8626,0.0219,,'-0.4199
ppo,ppo,parallel_traffic,10,0.0000,0.0000,0.0000,0.0000,0.0000,3.6000,1.0000,1.0000,0.0525,,'-0.2786
ppo,ppo,pedestrian_obstruction,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1021
ppo,ppo,pedestrian_overtaking,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0750,,'-0.1232
ppo,ppo,perpendicular_traffic,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,1.0000,1.0000,0.0163,,'-0.3057
ppo,ppo,robot_crowding,10,0.7000,0.0000,0.0000,0.0000,0.0000,7.0000,0.8970,0.8359,0.1801,,'-0.5844
ppo,ppo,robot_overtaking,10,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,1.0000,1.0000,0.0000,,'-0.3014
ppo,ppo,station_platform,10,0.0000,0.4000,0.4000,0.0000,0.4000,0.7000,1.0000,0.9758,0.0919,,'-0.2903
ppo,ppo,t_intersection,20,0.0000,0.1000,0.0000,0.1000,0.1000,0.0000,1.0000,1.0000,0.0337,,'-0.3513
prediction_planner,prediction_planner,accompanying_peer,10,0.0000,0.2000,0.0000,0.2000,0.2000,0.0000,1.0000,1.0000,0.0104,,'-0.1185
prediction_planner,prediction_planner,blind_corner,10,0.0000,0.7000,0.0000,0.7000,0.7000,0.0000,1.0000,1.0000,0.0000,,'-0.1695
prediction_planner,prediction_planner,bottleneck,40,0.0000,0.2250,0.0000,0.2250,0.2250,3.2250,1.0000,1.0000,0.0003,,'-0.1652
prediction_planner,prediction_planner,circular_crossing,10,0.9000,0.1000,0.1000,0.0000,0.1000,0.4000,0.7720,1.0000,0.0864,,0.0542
prediction_planner,prediction_planner,cross_trap,30,0.0000,0.6667,0.1667,0.5000,0.6667,0.1000,1.0000,1.0000,0.0976,,'-0.1963
prediction_planner,prediction_planner,crossing,10,0.0000,0.1000,0.0000,0.1000,0.1000,0.7000,1.0000,1.0000,0.0083,,'-0.1217
prediction_planner,prediction_planner,crowd_navigation,10,0.0000,0.2000,0.2000,0.0000,0.2000,18.8000,1.0000,1.0000,0.1178,,'-0.4322
prediction_planner,prediction_planner,doorway,30,0.1333,0.3333,0.1000,0.2333,0.3333,25.7667,0.9823,1.0000,0.0185,,'-0.4540
prediction_planner,prediction_planner,down_path,10,0.0000,0.2000,0.0000,0.2000,0.2000,0.0000,1.0000,1.0000,0.0000,,'-0.1159
prediction_planner,prediction_planner,entering_elevator,10,0.7000,0.3000,0.0000,0.3000,0.3000,0.0000,0.7440,1.0000,0.0000,,0.0307
prediction_planner,prediction_planner,entering_room,10,0.4000,0.3000,0.0000,0.3000,0.3000,0.0000,0.9840,1.0000,0.0000,,'-0.0490
prediction_planner,prediction_planner,exiting_elevator,10,0.4000,0.3000,0.0000,0.3000,0.3000,24.5000,0.9380,1.0000,0.0000,,'-0.2630
prediction_planner,prediction_planner,exiting_room,10,0.0000,0.3000,0.0000,0.3000,0.3000,0.0000,1.0000,1.0000,0.0000,,'-0.1266
prediction_planner,prediction_planner,following_human,10,0.0000,0.1000,0.0000,0.1000,0.1000,0.0000,1.0000,1.0000,0.0103,,'-0.1080
prediction_planner,prediction_planner,frontal_approach,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,group_crossing,30,0.0000,0.1000,0.1000,0.0000,0.1000,12.7000,1.0000,1.0000,0.0217,,'-0.2474
prediction_planner,prediction_planner,head_on_corridor,20,0.0000,0.1000,0.0000,0.1000,0.1000,2.6000,1.0000,1.0000,0.0336,,'-0.1474
prediction_planner,prediction_planner,intersection_no_gesture,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,intersection_proceed,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,intersection_wait,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,join_group,10,0.1000,0.4000,0.4000,0.0000,0.4000,23.4000,0.9950,1.0000,0.0570,,'-0.3866
prediction_planner,prediction_planner,leading_human,10,0.0000,0.2000,0.0000,0.2000,0.2000,0.0000,1.0000,1.0000,0.0105,,'-0.1186
prediction_planner,prediction_planner,leave_group,10,0.1000,0.6000,0.6000,0.0000,0.6000,37.1000,0.9920,1.0000,0.0950,,'-0.4802
prediction_planner,prediction_planner,merging,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0126,,'-0.1122
prediction_planner,prediction_planner,narrow_doorway,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1997
prediction_planner,prediction_planner,narrow_hallway,10,0.0000,0.0000,0.0000,0.0000,0.0000,2.7000,1.0000,1.0000,0.0200,,'-0.1412
prediction_planner,prediction_planner,overtaking,20,0.0000,0.0000,0.0000,0.0000,0.0000,7.6500,1.0000,1.0000,0.0184,,'-0.3084
prediction_planner,prediction_planner,parallel_traffic,10,0.0000,0.0000,0.0000,0.0000,0.0000,14.9000,1.0000,1.0000,0.0563,,'-0.2994
prediction_planner,prediction_planner,pedestrian_obstruction,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,pedestrian_overtaking,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0680,,'-0.1153
prediction_planner,prediction_planner,perpendicular_traffic,10,0.0000,0.0000,0.0000,0.0000,0.0000,8.1000,1.0000,1.0000,0.0181,,'-0.2224
prediction_planner,prediction_planner,robot_crowding,10,0.0000,0.7000,0.7000,0.0000,0.7000,36.0000,1.0000,1.0000,0.2179,,'-0.5941
prediction_planner,prediction_planner,robot_overtaking,10,0.0000,0.2000,0.2000,0.0000,0.2000,24.8000,1.0000,1.0000,0.0597,,'-0.4388
prediction_planner,prediction_planner,station_platform,10,0.0000,0.4000,0.4000,0.0000,0.4000,8.3000,1.0000,1.0000,0.0943,,'-0.2737
prediction_planner,prediction_planner,t_intersection,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0334,,'-0.1550
sacadrl,sacadrl,accompanying_peer,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0219,,'-0.5556
sacadrl,sacadrl,blind_corner,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1383
