planner_key,algo,scenario_family,scenario_id,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,intersection_no_gesture,francis2023_intersection_no_gesture,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_proceed,francis2023_intersection_proceed,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,intersection_wait,francis2023_intersection_wait,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,join_group,francis2023_join_group,10,0.0000,1.0000,1.0000,0.0000,1.0000,5.1000,1.0000,1.0000,0.0104,,'-0.2789
goal,goal,leading_human,francis2023_leading_human,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1048
goal,goal,leave_group,francis2023_leave_group,10,0.0000,1.0000,1.0000,0.0000,1.0000,5.6000,1.0000,1.0000,0.0000,,'-0.2868
goal,goal,narrow_doorway,francis2023_narrow_doorway,10,0.0000,0.4000,0.0000,0.4000,0.4000,0.0000,1.0000,1.0000,0.0000,,'-0.1368
goal,goal,narrow_hallway,francis2023_narrow_hallway,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0200,,'-0.0999
goal,goal,parallel_traffic,francis2023_parallel_traffic,10,0.0000,0.0000,0.0000,0.0000,0.0000,5.2000,1.0000,1.0000,0.0535,,'-0.1869
goal,goal,pedestrian_obstruction,francis2023_pedestrian_obstruction,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
goal,goal,pedestrian_overtaking,francis2023_pedestrian_overtaking,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0640,,'-0.1140
goal,goal,perpendicular_traffic,francis2023_perpendicular_traffic,10,0.0000,0.3000,0.3000,0.0000,0.3000,4.7000,1.0000,1.0000,0.0164,,'-0.2131
goal,goal,robot_crowding,francis2023_robot_crowding,10,0.0000,1.0000,1.0000,0.0000,1.0000,8.9000,1.0000,1.0000,0.2489,,'-0.4467
goal,goal,robot_overtaking,francis2023_robot_overtaking,10,0.0000,0.9000,0.9000,0.0000,0.9000,11.3000,1.0000,1.0000,0.0840,,'-0.3697
orca,orca,bottleneck,classic_bottleneck_high,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1219
orca,orca,bottleneck,classic_bottleneck_low,10,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9980,1.0000,0.0000,,'-0.0765
orca,orca,bottleneck,classic_bottleneck_medium,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2734
orca,orca,cross_trap,classic_cross_trap_high,10,0.0000,0.3000,0.3000,0.0000,0.3000,2.9000,1.0000,1.0000,0.1676,,'-0.2705
orca,orca,cross_trap,classic_cross_trap_low,10,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,1.0000,0.0130,,'-0.1549
orca,orca,cross_trap,classic_cross_trap_medium,10,0.0000,0.2000,0.2000,0.0000,0.2000,5.6000,1.0000,1.0000,0.1106,,'-0.2696
orca,orca,doorway,classic_doorway_high,10,0.0000,0.0000,0.0000,0.0000,0.0000,17.2000,1.0000,1.0000,0.0126,,'-0.7415
orca,orca,doorway,classic_doorway_low,10,0.3000,0.1000,0.1000,0.0000,0.1000,15.9000,0.9520,1.0000,0.0351,,'-0.9059
orca,orca,doorway,classic_doorway_medium,10,0.0000,0.0000,0.0000,0.0000,0.0000,9.5000,1.0000,1.0000,0.0112,,'-0.6167
orca,orca,group_crossing,classic_group_crossing_high,10,0.7000,0.1000,0.1000,0.0000,0.1000,7.5000,0.9290,1.0000,0.0227,,'-0.1463
orca,orca,group_crossing,classic_group_crossing_low,10,0.8000,0.0000,0.0000,0.0000,0.0000,4.7000,0.9110,1.0000,0.0252,,'-0.0642
orca,orca,group_crossing,classic_group_crossing_medium,10,0.9000,0.0000,0.0000,0.0000,0.0000,4.2000,0.9170,1.0000,0.0344,,'-0.0424
orca,orca,head_on_corridor,classic_head_on_corridor_low,10,0.0000,0.1000,0.0000,0.1000,0.1000,4.6000,1.0000,1.0000,0.0095,,'-0.1815
orca,orca,head_on_corridor,classic_head_on_corridor_medium,10,0.0000,0.2000,0.1000,0.1000,0.2000,4.6000,1.0000,1.0000,0.0575,,'-0.2056
orca,orca,merging,classic_merging_low,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0092,,'-0.1548
orca,orca,merging,classic_merging_medium,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9979,0.0160,,'-0.1825
orca,orca,overtaking,classic_overtaking_low,10,0.0000,0.1000,0.1000,0.0000,0.1000,1.6000,1.0000,1.0000,0.0245,,'-0.2708
orca,orca,overtaking,classic_overtaking_medium,10,0.0000,0.1000,0.1000,0.0000,0.1000,5.8000,1.0000,1.0000,0.0171,,'-0.3619
orca,orca,bottleneck,classic_realworld_double_bottleneck_high,10,0.0000,0.0000,0.0000,0.0000,0.0000,20.1000,1.0000,1.0000,0.0000,,'-0.3714
orca,orca,station_platform,classic_station_platform_medium,10,0.0000,0.4000,0.4000,0.0000,0.4000,7.5000,1.0000,1.0000,0.0918,,'-0.2894
orca,orca,t_intersection,classic_t_intersection_low,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0215,,'-0.1992
