scenario_id,seed,baseline_termination,mechanism_termination,baseline_success,mechanism_success,baseline_near_misses,mechanism_near_misses,baseline_collisions,mechanism_collisions,activation_count,first_activation_step,command_source_changed,terminal_outcome_changed,missing_fields
classic_station_platform_medium,111,max_steps,max_steps,false,false,60,60,0,0,unknown,unknown,unknown,false,activation_trace;selected_command_source;progress_or_trajectory_delta
francis2023_intersection_wait,111,success,success,true,true,0,0,0,0,unknown,unknown,unknown,false,activation_trace;selected_command_source;progress_or_trajectory_delta
