planner,snqi_rank,constraints_first_rank,rank_delta,snqi_mean,constraints_first_score,success_rate,collision_event_rate,near_miss_event_rate,pareto_front
ppo,1,3,2,-0.04854980510221743,0.2067912661792975,0.7072916666666667,0.26875,0.44895833333333335,True
hybrid_rule_v3_fast_progress_static_escape,2,1,-1,-0.0791696443594335,0.28788586770886077,0.753125,0.196875,0.521875,True
scenario_adaptive_hybrid_orca_v1,3,2,-1,-0.08003126980168561,0.2748380876716947,0.7489583333333333,0.20625,0.5208333333333334,False
orca,4,4,0,-0.10219104007190122,0.09369720036765296,0.64375,0.28020833333333334,0.5239583333333333,False
socnav_sampling,5,7,2,-0.14317223141137406,-0.6005794790178931,0.3,0.7,0.38333333333333336,False
prediction_planner,6,5,-1,-0.18036021003417474,-0.3480977051089837,0.40729166666666666,0.48854166666666665,0.515625,False
social_force,7,6,-1,-0.2074135165363074,-0.5829149402291006,0.005208333333333333,0.409375,0.3375,False
sacadrl,8,9,1,-0.23807447303492854,-0.8202206403386467,0.05416666666666667,0.6802083333333333,0.36875,False
goal,9,8,-1,-0.2419155669127599,-0.7979345906273274,0.0375,0.578125,0.4947916666666667,False
