panel,scenario_id,scenario_family,planner_key,arm_id,configuration_identity,kinematics,episodes,success_fraction,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,terminal_counts_json,terminal_counts_status,terminal_counts_member,terminal_counts_member_sha256,terminal_counts_reason,source_package_sha256sums_sha256,source_member,source_member_sha256,source_row_sha256
cross_topology,classic_realworld_double_bottleneck_high,bottleneck,ppo,ppo,cd25d8be47ea6cfd,differential_drive,30,0.0,8.6667,1.0,0.946,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,01f85614b43ab64c39963e7042a2017313e23d7c8d3463e18aa6906386c876b1
cross_topology,classic_realworld_double_bottleneck_high,bottleneck,hybrid_rule_v3_fast_progress_static_escape,hybrid_rule_v3_fast_progress_static_escape,cd25d8be47ea6cfd,differential_drive,30,1.0,39.6333,0.6123,0.9981,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,bd23c7b185a03d707d73f05d459b60c6bcdbcbd14bb0b64fb914d7c65e196d12
cross_topology,classic_realworld_double_bottleneck_high,bottleneck,hybrid_rule_v3_fast_progress_static_escape_continuous,hybrid_rule_v3_fast_progress_static_escape_continuous,cd25d8be47ea6cfd,differential_drive,30,1.0,21.9,0.5964,0.9976,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,f67b72af57d1207302a5665198e630a3866895d8f04b0fa74e86686ef23c4adc
cross_topology,classic_realworld_double_bottleneck_high,bottleneck,scenario_adaptive_hybrid_orca_v1,scenario_adaptive_hybrid_orca_v1,cd25d8be47ea6cfd,differential_drive,30,1.0,39.6333,0.6123,0.9981,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,8467034227f11035f3fe7ab6500aab13e61be83109e9fa032010e4a9cd0f506b
cross_topology,classic_realworld_double_bottleneck_high,bottleneck,scenario_adaptive_hybrid_orca_v2_collision_guard,scenario_adaptive_hybrid_orca_v2_collision_guard,cd25d8be47ea6cfd,differential_drive,30,1.0,39.6333,0.6123,0.9981,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,23d069acda24095e2f7688d406003d54ecedb2b7d88f2ea043ab92f540ca9c79
cross_topology,francis2023_blind_corner,blind_corner,ppo,ppo,cd25d8be47ea6cfd,differential_drive,30,0.7333,5.9333,0.5336,0.9855,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,54f0da2b36352c08fea0a0ccd8c717a47a7cce43561a88f9a7b0c235589e4c4d
cross_topology,francis2023_blind_corner,blind_corner,hybrid_rule_v3_fast_progress_static_escape,hybrid_rule_v3_fast_progress_static_escape,cd25d8be47ea6cfd,differential_drive,30,0.0,3.9333,1.0,1.0,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,8b8ea5d83fb125cbf9f654c15ac3be1f105cb271f732e123b76638d5f83e8ddb
cross_topology,francis2023_blind_corner,blind_corner,hybrid_rule_v3_fast_progress_static_escape_continuous,hybrid_rule_v3_fast_progress_static_escape_continuous,cd25d8be47ea6cfd,differential_drive,30,0.0,3.0667,1.0,1.0,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,711fd700efa61b2414e6c461f5d57932e08084970a7fc2707f3e77207724519e
cross_topology,francis2023_blind_corner,blind_corner,scenario_adaptive_hybrid_orca_v1,scenario_adaptive_hybrid_orca_v1,cd25d8be47ea6cfd,differential_drive,30,0.0,3.9333,1.0,1.0,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,05ae59ab8ec38791ee45d16ef72a58a410121d21c2a23c802275c9e91aad37f9
cross_topology,francis2023_blind_corner,blind_corner,scenario_adaptive_hybrid_orca_v2_collision_guard,scenario_adaptive_hybrid_orca_v2_collision_guard,cd25d8be47ea6cfd,differential_drive,30,0.0,3.9333,1.0,1.0,{},unavailable,,,v1 audit/campaign_atlas.csv does not contain normalized terminal counts,6807fdc9275133365812c8f51f51e057da6054f8dcaf77cb5fa8a32b08c4a87f,audit/campaign_atlas.csv,18768f5cf1d9f360487e9203fa1c538de136aaff240070ae3684b5243c44bc10,a9578fb455be35bff75d9e14b3598b9a9a40e792210339ef9bf3667b0cc53e2e
