candidate,window,progress_delta_m,clip_fraction,yaw_saturation_fraction,mean_requested_linear_m_s,mean_applied_linear_m_s,mean_abs_linear_gap_m_s
hybrid_rule_v3_fast_progress,0-19,2.8883964541614287,0.75,0.0,2.685833335568508,1.8350000000000002,0.8508333355685075
hybrid_rule_v3_fast_progress,20-39,3.6420931587705976,0.1,0.0,2.979166666666667,2.9675000000000002,0.011666666666666626
hybrid_rule_v3_fast_progress,40-59,3.738012792795292,0.15,0.0,2.648806627735833,2.6687499990065895,0.019943371270756138
hybrid_rule_v3_fast_progress,60-79,2.072447280449305,0.1,0.0,1.1029437766472499,1.1156607911984124,0.01271701455116272
actuation_aware_hybrid_rule_v0,0-19,2.92761096391877,0.4,0.0,1.6070692096367032,1.55,0.057069209636703165
actuation_aware_hybrid_rule_v0,20-39,3.2348346226410403,0.2,0.0,1.7800012866655988,1.7724948567152023,0.015839763283729557
actuation_aware_hybrid_rule_v0,40-59,3.6002077925834683,0.0,0.0,2.0,2.0,0.0
actuation_aware_hybrid_rule_v0,60-79,2.5209026285295035,0.15,0.0,1.3368431693352927,1.3435359970765979,0.006692827741305041
