component,metric_name,configured_weight,configured_weight_share,calibrated_weight,delta,mean_abs_contribution,mean_abs_score_delta_if_ablated,episode_rank_correlation_if_ablated,planner_rank_correlation_if_ablated,planner_order_changed_if_ablated,sensitivity_rank
w_success,success,0.19045845847432735,0.19045845847432738,0.050170280763373404,-0.14028817771095395,0.07104402816105812,0.07104402816105862,0.8847278416355768,0.5714285714285714,True,1
w_time,time_to_goal_norm,0.09491099136070058,0.0949109913607006,0.052624640361962356,-0.042286350998738224,0.08075486062352744,0.08075486062352719,0.9885869985358691,1.0,False,5
w_collisions,collisions,0.10483542508043969,0.1048354250804397,0.13401237269635413,0.02917694761591444,0.0,0.0,1.0,1.0,False,7
w_near,near_misses,0.30825830332144416,0.3082583033214442,0.33851447590561695,0.03025617258417279,0.07621995273924997,0.07621995273924974,0.7411203617909897,0.8214285714285714,True,2
w_comfort,comfort_exposure,0.17983060763794978,0.1798306076379498,0.23315961560494292,0.053329007966993136,0.0052496661719784185,0.005249666171978415,0.9896646544667546,1.0,False,6
w_force_exceed,force_exceed_events,0.0692114485473155,0.06921144854731551,0.11118959550771924,0.04197814696040375,0.012207850253972648,0.012207850253972556,0.9879233243620761,1.0,False,4
w_jerk,jerk_mean,0.05249476557782281,0.052494765577822816,0.08032901916003092,0.02783425358220811,0.00999148833137997,0.009991488331379975,0.9822523845261562,1.0,False,3
