planner_id,scenario_id,seed,baseline_arm_key,comparison_arm_key,alpha_mps,pair_status,not_comparable_reason,success_rate_delta,collision_rate_delta,near_miss_rate_delta,min_clearance_m_delta,path_efficiency_delta,runtime_seconds_delta
prediction_mpc,classic_bottleneck_low__issue4232__envelope_on_alpha_0,111,envelope_off_alpha_0,envelope_on_alpha_0,0.0,not_comparable,missing_envelope_off_alpha_0_for_seed,,,,,,
prediction_mpc,classic_bottleneck_low__issue4232__envelope_on_alpha_0p10,111,envelope_off_alpha_0,envelope_on_alpha_0p10,0.1,not_comparable,missing_envelope_off_alpha_0_for_seed,,,,,,
