scenario_matrix,scenario_matrix_hash,scenario_count,planner_key,algo,human_model_variant,human_model_source,planner_group,benchmark_profile,observation_mode,kinematics,seed_policy.mode,seed_policy.seed_set,resolved_seeds,repeats,horizon_mode,horizon,scenario_horizons_path,paper_facing,paper_profile_version,observation_noise.profile,observation_noise.enabled,observation_noise_hash,config_hash,git_commit,campaign_id,created_at_utc
configs/scenarios/nominal_v1.yaml,c80b0d13b16c,4,goal,goal,,,core,baseline-safe,,differential_drive,seed-set,eval,"[111, 112, 113]",3,fixed,100,,False,paper-matrix-v1,none,False,c71dd80adab5,7bf86985346f76c5,469d40c9c6771498611fbaf58fcce60ea474e4ab,issue_1353_paired_nominal_v1_broader_baselines_issue1353-nominal-main-rvo2-20260526_20260526_062603,2026-05-26T04:26:03.475491Z
configs/scenarios/nominal_v1.yaml,c80b0d13b16c,4,orca,orca,,,core,baseline-safe,,differential_drive,seed-set,eval,"[111, 112, 113]",3,fixed,100,,False,paper-matrix-v1,none,False,c71dd80adab5,7bf86985346f76c5,469d40c9c6771498611fbaf58fcce60ea474e4ab,issue_1353_paired_nominal_v1_broader_baselines_issue1353-nominal-main-rvo2-20260526_20260526_062603,2026-05-26T04:26:03.475491Z
configs/scenarios/nominal_v1.yaml,c80b0d13b16c,4,social_force,social_force,,,core,baseline-safe,,differential_drive,seed-set,eval,"[111, 112, 113]",3,fixed,100,,False,paper-matrix-v1,none,False,c71dd80adab5,7bf86985346f76c5,469d40c9c6771498611fbaf58fcce60ea474e4ab,issue_1353_paired_nominal_v1_broader_baselines_issue1353-nominal-main-rvo2-20260526_20260526_062603,2026-05-26T04:26:03.475491Z
configs/scenarios/nominal_v1.yaml,c80b0d13b16c,4,ppo,ppo,,,experimental,experimental,,differential_drive,seed-set,eval,"[111, 112, 113]",3,fixed,100,,False,paper-matrix-v1,none,False,c71dd80adab5,7bf86985346f76c5,469d40c9c6771498611fbaf58fcce60ea474e4ab,issue_1353_paired_nominal_v1_broader_baselines_issue1353-nominal-main-rvo2-20260526_20260526_062603,2026-05-26T04:26:03.475491Z
configs/scenarios/nominal_v1.yaml,c80b0d13b16c,4,prediction_planner,prediction_planner,,,experimental,experimental,,differential_drive,seed-set,eval,"[111, 112, 113]",3,fixed,100,,False,paper-matrix-v1,none,False,c71dd80adab5,7bf86985346f76c5,469d40c9c6771498611fbaf58fcce60ea474e4ab,issue_1353_paired_nominal_v1_broader_baselines_issue1353-nominal-main-rvo2-20260526_20260526_062603,2026-05-26T04:26:03.475491Z
configs/scenarios/nominal_v1.yaml,c80b0d13b16c,4,sacadrl,sacadrl,,,experimental,experimental,,differential_drive,seed-set,eval,"[111, 112, 113]",3,fixed,100,,False,paper-matrix-v1,none,False,c71dd80adab5,7bf86985346f76c5,469d40c9c6771498611fbaf58fcce60ea474e4ab,issue_1353_paired_nominal_v1_broader_baselines_issue1353-nominal-main-rvo2-20260526_20260526_062603,2026-05-26T04:26:03.475491Z
configs/scenarios/nominal_v1.yaml,c80b0d13b16c,4,socnav_bench,socnav_bench,,,experimental,experimental,,differential_drive,seed-set,eval,"[111, 112, 113]",3,fixed,100,,False,paper-matrix-v1,none,False,c71dd80adab5,7bf86985346f76c5,469d40c9c6771498611fbaf58fcce60ea474e4ab,issue_1353_paired_nominal_v1_broader_baselines_issue1353-nominal-main-rvo2-20260526_20260526_062603,2026-05-26T04:26:03.475491Z
configs/scenarios/nominal_v1.yaml,c80b0d13b16c,4,socnav_sampling,socnav_sampling,,,experimental,experimental,,differential_drive,seed-set,eval,"[111, 112, 113]",3,fixed,100,,False,paper-matrix-v1,none,False,c71dd80adab5,7bf86985346f76c5,469d40c9c6771498611fbaf58fcce60ea474e4ab,issue_1353_paired_nominal_v1_broader_baselines_issue1353-nominal-main-rvo2-20260526_20260526_062603,2026-05-26T04:26:03.475491Z
