"component","metric_name","configured_weight","configured_weight_share","calibrated_weight","delta","mean_abs_contribution","mean_abs_score_delta_if_ablated","episode_rank_correlation_if_ablated","planner_rank_correlation_if_ablated","planner_order_changed_if_ablated","sensitivity_rank"
"w_success","success","0.19045845847432735","0.19045845847432738","0.050170280763373404","-0.14028817771095395","0.0936126836791245","0.09361268367912541","0.9034542052035521","0.3","true","1"
"w_near","near_misses","0.30825830332144416","0.3082583033214442","0.33851447590561695","0.03025617258417279","0.08453997560226535","0.08453997560226555","0.709985205914804","0.6833333333333333","true","2"
"w_jerk","jerk_mean","0.05249476557782281","0.052494765577822816","0.08032901916003092","0.02783425358220811","0.012726546115235833","0.012726546115235857","0.9813957390473578","0.95","true","3"
"w_force_exceed","force_exceed_events","0.0692114485473155","0.06921144854731551","0.11118959550771924","0.04197814696040375","0.012721025879381958","0.012721025879381872","0.9887021475135752","0.9833333333333333","true","4"
"w_time","time_to_goal_norm","0.09491099136070058","0.0949109913607006","0.052624640361962356","-0.042286350998738224","0.07725570989407783","0.07725570989407744","0.9890465832528171","1.0","false","5"
"w_comfort","comfort_exposure","0.17983060763794978","0.1798306076379498","0.23315961560494292","0.053329007966993136","0.005098472897718226","0.005098472897718219","0.9921930294551188","1.0","false","6"
"w_collisions","collisions","0.10483542508043969","0.1048354250804397","0.13401237269635413","0.02917694761591444","0.0","0.0","1.0","1.0","false","7"
