planner_key,algo,planner_group,kinematics,status,readiness_tier,readiness_status,preflight_status,episode_count,seed_count,repeat_count,seed_list,campaign_id,config_hash,git_hash,seed_policy_mode,seed_policy_seed_set,confidence_method,confidence_level,bootstrap_samples,bootstrap_seed,success_mean,success_std,success_count,success_ci_low,success_ci_high,success_ci_half_width,success_source_table_mean,collisions_mean,collisions_std,collisions_count,collisions_ci_low,collisions_ci_high,collisions_ci_half_width,collisions_source_table_mean,near_misses_mean,near_misses_std,near_misses_count,near_misses_ci_low,near_misses_ci_high,near_misses_ci_half_width,near_misses_source_table_mean,time_to_goal_norm_mean,time_to_goal_norm_std,time_to_goal_norm_count,time_to_goal_norm_ci_low,time_to_goal_norm_ci_high,time_to_goal_norm_ci_half_width,time_to_goal_norm_source_table_mean,snqi_mean,snqi_std,snqi_count,snqi_ci_low,snqi_ci_high,snqi_ci_half_width,snqi_source_table_mean
goal,goal,core,differential_drive,ok,baseline-ready,native,ok,141,3,47,"111,112,113",paper_experiment_matrix_v1_release_rehearsal_latest_20260409_20260409_120154,172edd29f84942a9,a60119aa10ed677a55a8b6b69264d4aeabfdb811,seed-set,eval,bootstrap_mean_over_seed_means,0.95,400,123,0.014184397163120567,0.010029883421085779,3.0,0.0,0.02127659574468085,0.014184397163120567,0.0142,0.24113475177304966,0.026536577211162708,3.0,0.2127659574468085,0.2765957446808511,0.035460992907801414,0.2411,2.631205673758865,0.1303884844741151,3.0,2.524822695035461,2.7872340425531914,0.15602836879432624,2.6312,0.9980141843971632,0.0019756579116573083,3.0,0.9964539007092199,1.0,0.001985815602836838,0.998,-0.1619472227572508,0.0014831621584206701,3.0,-0.16312243676835878,-0.16043746105212886,0.0015097617051219314,-0.1619
orca,orca,core,differential_drive,ok,baseline-ready,adapter,ok,141,3,47,"111,112,113",paper_experiment_matrix_v1_release_rehearsal_latest_20260409_20260409_120154,172edd29f84942a9,a60119aa10ed677a55a8b6b69264d4aeabfdb811,seed-set,eval,bootstrap_mean_over_seed_means,0.95,400,123,0.18439716312056734,0.05307315442232541,3.0,0.1276595744680851,0.22695035460992907,0.05673758865248224,0.1844,0.028368794326241134,0.010029883421085779,3.0,0.02127659574468085,0.0425531914893617,0.014184397163120567,0.0284,4.609929078014185,0.6787052473912194,3.0,4.0638297872340425,5.51063829787234,0.9007092198581557,4.6099,0.9641134751773052,0.012335941143307686,3.0,0.9540425531914895,0.9793617021276596,0.015248226950354438,0.9641,-0.2616151510381767,0.01398588550487134,3.0,-0.27166941518191645,-0.24184479693476116,0.019770354103415516,-0.2616
ppo,ppo,experimental,differential_drive,ok,experimental,native,ok,141,3,47,"111,112,113",paper_experiment_matrix_v1_release_rehearsal_latest_20260409_20260409_120154,172edd29f84942a9,a60119aa10ed677a55a8b6b69264d4aeabfdb811,seed-set,eval,bootstrap_mean_over_seed_means,0.95,400,123,0.24113475177304963,0.05307315442232541,3.0,0.1702127659574468,0.2836879432624113,0.07092198581560283,0.2411,0.11347517730496454,0.010029883421085775,3.0,0.10638297872340426,0.12056737588652482,0.00709219858156028,0.1135,3.624113475177305,0.6755854300204175,3.0,3.063829787234043,4.574468085106383,0.9503546099290778,3.6241,0.9293617021276598,0.008338688486070297,3.0,0.9225531914893619,0.9395744680851065,0.01021276595744669,0.9294,-0.38212247144634603,0.0302230702502216,3.0,-0.42486199195950075,-0.36036412046166816,0.042739520513154716,-0.3821
prediction_planner,prediction_planner,experimental,differential_drive,ok,experimental,adapter,ok,141,3,47,"111,112,113",paper_experiment_matrix_v1_release_rehearsal_latest_20260409_20260409_120154,172edd29f84942a9,a60119aa10ed677a55a8b6b69264d4aeabfdb811,seed-set,eval,bootstrap_mean_over_seed_means,0.95,400,123,0.07801418439716312,0.026536577211162708,3.0,0.0425531914893617,0.10638297872340426,0.03546099290780142,0.078,0.2127659574468085,0.01737226767931332,3.0,0.19858156028368792,0.23404255319148937,0.021276595744680854,0.2128,7.177304964539007,0.17401197370759272,3.0,6.9361702127659575,7.3120567375886525,0.24113475177304977,7.1773,0.985886524822695,0.006631869348970745,3.0,0.9807801418439718,0.9951063829787236,0.009219858156028549,0.9859,-0.1806656999058911,0.0014001700808234285,3.0,-0.18173526192364134,-0.17871169140305163,0.0019540085028394716,-0.1807
sacadrl,sacadrl,experimental,differential_drive,ok,experimental,adapter,ok,141,3,47,"111,112,113",paper_experiment_matrix_v1_release_rehearsal_latest_20260409_20260409_120154,172edd29f84942a9,a60119aa10ed677a55a8b6b69264d4aeabfdb811,seed-set,eval,bootstrap_mean_over_seed_means,0.95,400,123,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.3900709219858156,0.03616325896165096,3.0,0.3404255319148936,0.41843971631205673,0.049645390070922,0.3901,3.7730496453900706,0.32329847716429727,3.0,3.404255319148936,4.035460992907802,0.3687943262411344,3.773,1.0,0.0,3.0,1.0,1.0,0.0,1.0,-0.2879147084775627,0.00803214764457156,3.0,-0.2938158151540571,-0.27658506482958756,0.011329643647975118,-0.2879
social_force,social_force,core,differential_drive,ok,baseline-ready,adapter,ok,141,3,47,"111,112,113",paper_experiment_matrix_v1_release_rehearsal_latest_20260409_20260409_120154,172edd29f84942a9,a60119aa10ed677a55a8b6b69264d4aeabfdb811,seed-set,eval,bootstrap_mean_over_seed_means,0.95,400,123,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2127659574468085,0.01737226767931332,3.0,0.19858156028368792,0.23404255319148937,0.021276595744680854,0.2128,2.3404255319148937,0.5300677146398522,3.0,1.5957446808510636,2.7375886524822697,0.7446808510638301,2.3404,1.0,0.0,3.0,1.0,1.0,0.0,1.0,-0.8469249745095082,0.007364628166774509,3.0,-0.8529236447886648,-0.8382886874603607,0.00863628704914754,-0.8469
socnav_sampling,socnav_sampling,experimental,differential_drive,ok,experimental,adapter,ok,141,3,47,"111,112,113",paper_experiment_matrix_v1_release_rehearsal_latest_20260409_20260409_120154,172edd29f84942a9,a60119aa10ed677a55a8b6b69264d4aeabfdb811,seed-set,eval,bootstrap_mean_over_seed_means,0.95,400,123,0.18439716312056734,0.05307315442232541,3.0,0.1276595744680851,0.22695035460992907,0.05673758865248224,0.1844,0.5106382978723404,0.10567137890603785,3.0,0.425531914893617,0.6595744680851063,0.14893617021276595,0.5106,1.4184397163120568,0.20358439850223156,3.0,1.2340425531914894,1.702127659574468,0.2836879432624113,1.4184,0.9487234042553192,0.008579508576023725,3.0,0.9425531914893618,0.9551063829787233,0.006382978723404098,0.9487,-0.13158781533785546,0.015000725341016418,3.0,-0.1527703847266007,-0.11999318289560935,0.021182569388745243,-0.1316
