scenario_id,planner_key,planner_group,seed_count,success_mean,success_std,success_range,collision_mean,collision_std,near_misses_mean,near_misses_std,time_to_goal_norm_mean,time_to_goal_norm_std,snqi_mean,snqi_std
francis2023_join_group,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.6,0.489898,1.0,0.0,0.0,66.4,29.076451,0.796129,0.168687,-0.388598,0.118645
francis2023_join_group,scenario_adaptive_hybrid_orca_v1,candidate,10,0.6,0.489898,1.0,0.0,0.0,70.5,28.246239,0.796129,0.169327,-0.388563,0.11899
francis2023_join_group,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.6,0.489898,1.0,0.0,0.0,70.5,28.246239,0.796129,0.169327,-0.388563,0.11899
francis2023_leave_group,hybrid_rule_v3_fast_progress,candidate,10,0.6,0.489898,1.0,0.0,0.0,103.3,26.64226,0.828235,0.143891,-0.440852,0.106205
francis2023_leave_group,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.6,0.489898,1.0,0.0,0.0,103.3,26.64226,0.828235,0.143891,-0.440852,0.106205
classic_station_platform_medium,orca,core,10,0.3,0.458258,1.0,0.5,0.5,40.6,37.095013,0.936167,0.098531,-0.523456,0.394923
francis2023_robot_overtaking,prediction_planner,core,10,0.3,0.458258,1.0,0.4,0.489898,35.5,24.848541,0.975519,0.037869,-0.422036,0.154027
classic_bottleneck_high,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,53.4,41.96713,0.7775,0.171325,-0.192049,0.011546
classic_bottleneck_low,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,0.0,0.0,0.847727,0.113346,0.021343,0.14483
classic_bottleneck_medium,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,34.0,24.939928,0.672205,0.219366,-0.181307,0.012913
classic_cross_trap_high,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.7,0.458258,1.0,0.3,0.458258,8.4,8.440379,0.859639,0.124019,-0.224434,0.093349
classic_cross_trap_high,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.7,0.458258,1.0,0.3,0.458258,7.6,6.770524,0.804418,0.147163,-0.227611,0.102377
classic_cross_trap_high,orca,core,10,0.3,0.458258,1.0,0.7,0.458258,19.8,18.043281,0.878715,0.186183,-0.412832,0.164299
classic_cross_trap_high,scenario_adaptive_hybrid_orca_v1,candidate,10,0.7,0.458258,1.0,0.3,0.458258,9.4,7.901899,0.874498,0.122839,-0.241438,0.091037
classic_cross_trap_high,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.7,0.458258,1.0,0.3,0.458258,9.4,7.901899,0.874498,0.122839,-0.241438,0.091037
classic_cross_trap_low,sacadrl,core,10,0.7,0.458258,1.0,0.3,0.458258,7.5,12.940247,0.891245,0.074747,-0.077052,0.234632
classic_cross_trap_medium,sacadrl,core,10,0.3,0.458258,1.0,0.7,0.458258,15.9,12.747157,0.951509,0.074139,-0.344271,0.13809
classic_doorway_high,ppo,core,10,0.3,0.458258,1.0,0.7,0.458258,15.5,9.362158,0.858462,0.238435,-1.063703,0.336851
classic_doorway_low,ppo,core,10,0.7,0.458258,1.0,0.3,0.458258,12.6,9.254188,0.553753,0.362005,-0.842525,0.37564
classic_group_crossing_high,goal,core,10,0.3,0.458258,1.0,0.3,0.458258,6.5,7.186793,0.995181,0.010709,-0.179314,0.159974
classic_group_crossing_medium,goal,core,10,0.3,0.458258,1.0,0.3,0.458258,7.4,8.36899,0.989941,0.01716,-0.190347,0.169139
classic_overtaking_low,socnav_sampling,core,10,0.7,0.458258,1.0,0.3,0.458258,3.3,3.1,0.651253,0.228622,-0.096893,0.192919
classic_overtaking_medium,socnav_sampling,core,10,0.3,0.458258,1.0,0.7,0.458258,5.1,5.787055,0.837105,0.249355,-0.324555,0.174251
classic_realworld_double_bottleneck_high,goal,core,10,0.7,0.458258,1.0,0.3,0.458258,73.1,34.708644,0.887544,0.074188,-0.303463,0.111645
classic_urban_crossing_medium,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,2.9,5.804309,0.916814,0.066601,-0.034738,0.178927
classic_urban_crossing_medium,socnav_sampling,core,10,0.7,0.458258,1.0,0.3,0.458258,1.8,3.37046,0.772566,0.15008,-0.006274,0.161041
francis2023_accompanying_peer,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,0.0,0.0,0.977674,0.019821,0.007727,0.137466
francis2023_down_path,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,0.0,0.0,0.973953,0.022422,0.009431,0.136946
francis2023_entering_elevator,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,0.0,0.0,0.735294,0.174994,0.031566,0.151444
francis2023_entering_room,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,0.0,0.0,0.824427,0.116472,0.023314,0.146038
francis2023_exiting_elevator,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,29.9,27.653029,0.555926,0.296853,-0.17007,0.024604
francis2023_exiting_room,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,0.0,0.0,0.813194,0.12401,0.024573,0.146866
francis2023_following_human,prediction_planner,core,10,0.3,0.458258,1.0,0.3,0.458258,0.0,0.0,0.992558,0.014291,-0.069753,0.117713
francis2023_leading_human,prediction_planner,core,10,0.7,0.458258,1.0,0.3,0.458258,0.0,0.0,0.968837,0.02444,0.008507,0.138089
francis2023_leave_group,orca,core,10,0.7,0.458258,1.0,0.3,0.458258,23.9,11.317685,0.588824,0.270415,-0.263847,0.033765
francis2023_pedestrian_obstruction,prediction_planner,core,10,0.3,0.458258,1.0,0.7,0.458258,25.1,9.52313,0.963704,0.060966,-0.404114,0.131332
francis2023_robot_crowding,orca,core,10,0.3,0.458258,1.0,0.7,0.458258,41.0,37.98684,0.788218,0.325193,-0.847089,0.420206
francis2023_robot_overtaking,socnav_sampling,core,10,0.3,0.458258,1.0,0.7,0.458258,5.2,2.039608,0.892946,0.163538,-0.191822,0.140138
classic_merging_medium,hybrid_rule_v3_fast_progress,candidate,10,0.7,0.458258,1.0,0.2,0.4,44.3,47.476415,0.875167,0.128022,-0.379441,0.195188
francis2023_narrow_hallway,prediction_planner,core,10,0.7,0.458258,1.0,0.2,0.4,57.5,57.625081,0.647678,0.231068,-0.259142,0.150763
classic_doorway_high,hybrid_rule_v3_fast_progress,candidate,10,0.3,0.458258,1.0,0.0,0.0,64.2,64.837952,0.876154,0.190148,-0.436343,0.272002
classic_doorway_high,orca,core,10,0.7,0.458258,1.0,0.0,0.0,27.1,6.609841,0.935385,0.067845,-0.907425,0.277625
classic_doorway_low,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.7,0.458258,1.0,0.0,0.0,48.2,64.146395,0.474818,0.347686,-0.353427,0.339676
classic_doorway_medium,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.7,0.458258,1.0,0.0,0.0,15.4,28.309716,0.8,0.190564,-0.313813,0.389614
classic_merging_low,hybrid_rule_v3_fast_progress,candidate,10,0.7,0.458258,1.0,0.0,0.0,11.3,20.503902,0.899777,0.092182,-0.213988,0.205553
classic_merging_low,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.7,0.458258,1.0,0.0,0.0,11.3,20.503902,0.898884,0.091333,-0.21381,0.205368
classic_merging_low,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.7,0.458258,1.0,0.0,0.0,17.7,24.61727,0.901116,0.091801,-0.264372,0.268993
classic_merging_low,scenario_adaptive_hybrid_orca_v1,candidate,10,0.7,0.458258,1.0,0.0,0.0,11.3,20.503902,0.898884,0.091333,-0.21381,0.205368
classic_merging_low,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.7,0.458258,1.0,0.0,0.0,11.3,20.503902,0.899777,0.092182,-0.213988,0.205553
francis2023_join_group,hybrid_rule_v3_fast_progress,candidate,10,0.7,0.458258,1.0,0.0,0.0,63.8,25.933762,0.752258,0.167648,-0.361635,0.115456
classic_station_platform_medium,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.2,0.4,1.0,0.4,0.489898,29.5,27.677608,0.997333,0.007461,-0.435945,0.139733
classic_cross_trap_low,socnav_sampling,core,10,0.2,0.4,1.0,0.8,0.4,1.7,3.742993,0.882879,0.234299,-0.174806,0.16886
classic_cross_trap_medium,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.8,0.4,1.0,0.2,0.4,8.0,8.062258,0.75283,0.164285,-0.155301,0.137379
classic_cross_trap_medium,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.8,0.4,1.0,0.2,0.4,7.7,7.430343,0.706038,0.182329,-0.162762,0.146874
classic_cross_trap_medium,ppo,core,10,0.8,0.4,1.0,0.2,0.4,18.2,26.505848,0.56434,0.218716,-0.239008,0.146636
classic_cross_trap_medium,scenario_adaptive_hybrid_orca_v1,candidate,10,0.8,0.4,1.0,0.2,0.4,7.3,6.261789,0.760189,0.164873,-0.15873,0.130951
classic_cross_trap_medium,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.8,0.4,1.0,0.2,0.4,7.3,6.261789,0.760189,0.164873,-0.15873,0.130951
classic_group_crossing_medium,sacadrl,core,10,0.2,0.4,1.0,0.2,0.4,7.3,10.412012,0.997041,0.006063,-0.209305,0.19039
classic_head_on_corridor_low,prediction_planner,core,10,0.8,0.4,1.0,0.2,0.4,9.8,12.237647,0.813359,0.105006,-0.070969,0.170682
classic_head_on_corridor_medium,orca,core,10,0.8,0.4,1.0,0.2,0.4,6.8,4.749737,0.621533,0.190866,-0.044873,0.133425
classic_merging_medium,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.8,0.4,1.0,0.2,0.4,46.9,47.607667,0.864167,0.121377,-0.380802,0.195606
classic_merging_medium,prediction_planner,core,10,0.8,0.4,1.0,0.2,0.4,64.6,50.921901,0.840333,0.09431,-0.391038,0.11516
classic_merging_medium,scenario_adaptive_hybrid_orca_v1,candidate,10,0.8,0.4,1.0,0.2,0.4,42.0,48.419005,0.855667,0.122243,-0.366979,0.195334
classic_merging_medium,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.8,0.4,1.0,0.2,0.4,42.0,48.419005,0.855667,0.122243,-0.366979,0.195334
classic_overtaking_low,orca,core,10,0.8,0.4,1.0,0.2,0.4,8.4,13.440238,0.632591,0.187258,-0.180345,0.319799
classic_overtaking_medium,orca,core,10,0.8,0.4,1.0,0.2,0.4,22.1,25.23668,0.652895,0.183647,-0.269152,0.288125
francis2023_blind_corner,ppo,core,10,0.8,0.4,1.0,0.2,0.4,6.5,3.293934,0.71519,0.142686,-0.178808,0.072942
francis2023_crowd_navigation,orca,core,10,0.8,0.4,1.0,0.2,0.4,18.4,15.608972,0.530065,0.23878,-0.379906,0.435703
francis2023_parallel_traffic,socnav_sampling,core,10,0.2,0.4,1.0,0.8,0.4,0.8,1.6,0.928,0.1441,-0.241515,0.160213
classic_group_crossing_high,prediction_planner,core,10,0.8,0.4,1.0,0.1,0.3,31.0,34.155527,0.820482,0.11963,-0.171341,0.165235
classic_merging_low,orca,core,10,0.8,0.4,1.0,0.1,0.3,29.7,30.916177,0.860491,0.086625,-0.369674,0.240321
classic_bottleneck_medium,ppo,core,10,0.8,0.4,1.0,0.0,0.0,13.5,2.459675,0.471903,0.265857,-0.438144,0.448976
classic_group_crossing_high,hybrid_rule_v3_fast_progress,candidate,10,0.8,0.4,1.0,0.0,0.0,37.2,35.045114,0.772289,0.151439,-0.219948,0.189008
classic_group_crossing_high,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.8,0.4,1.0,0.0,0.0,37.2,35.045114,0.772289,0.151439,-0.219948,0.189008
classic_group_crossing_high,scenario_adaptive_hybrid_orca_v1,candidate,10,0.8,0.4,1.0,0.0,0.0,37.2,35.045114,0.772289,0.151439,-0.219948,0.189008
classic_group_crossing_high,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.8,0.4,1.0,0.0,0.0,37.2,35.045114,0.772289,0.151439,-0.219948,0.189008
classic_overtaking_low,hybrid_rule_v3_fast_progress,candidate,10,0.8,0.4,1.0,0.0,0.0,28.0,43.065067,0.687187,0.173111,-0.13444,0.194803
classic_overtaking_medium,hybrid_rule_v3_fast_progress,candidate,10,0.8,0.4,1.0,0.0,0.0,27.9,42.826277,0.683684,0.169433,-0.155934,0.200466
classic_urban_crossing_medium,hybrid_rule_v3_fast_progress,candidate,10,0.8,0.4,1.0,0.0,0.0,5.1,15.3,0.769912,0.118382,0.034161,0.168267
classic_urban_crossing_medium,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.8,0.4,1.0,0.0,0.0,5.1,15.3,0.769912,0.118382,0.03218,0.173725
classic_urban_crossing_medium,scenario_adaptive_hybrid_orca_v1,candidate,10,0.8,0.4,1.0,0.0,0.0,5.1,15.3,0.769912,0.118382,0.03218,0.173725
classic_urban_crossing_medium,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.8,0.4,1.0,0.0,0.0,5.1,15.3,0.769912,0.118382,0.03218,0.173725
francis2023_exiting_elevator,hybrid_rule_v3_fast_progress,candidate,10,0.8,0.4,1.0,0.0,0.0,15.9,26.220031,0.721481,0.276733,-0.105883,0.177873
francis2023_exiting_elevator,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.8,0.4,1.0,0.0,0.0,0.0,0.0,0.742593,0.205061,0.038936,0.090156
francis2023_parallel_traffic,prediction_planner,core,10,0.2,0.4,1.0,0.0,0.0,36.4,32.860919,0.9872,0.037086,-0.333458,0.170311
francis2023_pedestrian_overtaking,social_force,core,10,0.2,0.4,1.0,0.0,0.0,0.0,0.0,0.996847,0.006386,-0.79658,0.089071
francis2023_perpendicular_traffic,hybrid_rule_v3_fast_progress,candidate,10,0.8,0.4,1.0,0.0,0.0,10.0,14.303846,0.682692,0.166238,-0.061446,0.173254
classic_doorway_medium,orca,core,10,0.1,0.3,1.0,0.5,0.5,17.4,10.603773,0.963889,0.108333,-0.901056,0.280126
classic_head_on_corridor_low,social_force,core,10,0.1,0.3,1.0,0.5,0.5,7.8,6.128621,0.994656,0.016031,-0.249048,0.104007
classic_head_on_corridor_medium,sacadrl,core,10,0.1,0.3,1.0,0.5,0.5,20.2,13.325164,0.995985,0.012044,-0.443087,0.110997
francis2023_join_group,prediction_planner,core,10,0.1,0.3,1.0,0.4,0.489898,50.9,40.108478,0.96129,0.116129,-0.405034,0.108374
francis2023_leave_group,prediction_planner,core,10,0.1,0.3,1.0,0.6,0.489898,58.1,51.42266,0.954118,0.137647,-0.478891,0.095261
francis2023_perpendicular_traffic,goal,core,10,0.1,0.3,1.0,0.4,0.489898,11.9,9.060353,0.999038,0.002885,-0.292025,0.109595
classic_head_on_corridor_medium,social_force,core,10,0.1,0.3,1.0,0.7,0.458258,14.9,11.995416,0.990511,0.028467,-0.422324,0.172622
classic_head_on_corridor_medium,goal,core,10,0.1,0.3,1.0,0.8,0.4,8.3,5.177837,0.99635,0.010949,-0.308533,0.071024
classic_bottleneck_low,socnav_sampling,core,10,0.9,0.3,1.0,0.1,0.3,0.0,0.0,0.6625,0.120401,0.096747,0.103256
classic_cross_trap_high,sacadrl,core,10,0.1,0.3,1.0,0.9,0.3,15.4,16.304601,0.990361,0.028916,-0.391929,0.118319
classic_cross_trap_low,orca,core,10,0.9,0.3,1.0,0.1,0.3,13.1,12.549502,0.488716,0.171144,-0.060615,0.22051
classic_doorway_high,goal,core,10,0.1,0.3,1.0,0.9,0.3,12.2,9.378699,0.947692,0.156923,-0.405185,0.153365
classic_doorway_low,goal,core,10,0.1,0.3,1.0,0.9,0.3,8.4,5.95315,0.930024,0.209927,-0.380767,0.1822
classic_doorway_low,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.9,0.3,1.0,0.1,0.3,21.9,19.449679,0.393947,0.260949,-0.231762,0.192806
classic_doorway_low,scenario_adaptive_hybrid_orca_v1,candidate,10,0.9,0.3,1.0,0.1,0.3,21.9,19.449679,0.393947,0.260949,-0.231762,0.192806
classic_doorway_low,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.9,0.3,1.0,0.1,0.3,21.9,19.449679,0.393947,0.260949,-0.231762,0.192806
classic_doorway_medium,socnav_sampling,core,10,0.1,0.3,1.0,0.9,0.3,2.2,5.670979,0.927222,0.218333,-0.294403,0.069892
classic_group_crossing_high,orca,core,10,0.9,0.3,1.0,0.1,0.3,7.5,5.64358,0.604819,0.139317,-0.075227,0.190843
classic_group_crossing_low,prediction_planner,core,10,0.9,0.3,1.0,0.1,0.3,3.0,6.016644,0.824832,0.08794,0.033554,0.164138
classic_group_crossing_medium,ppo,core,10,0.9,0.3,1.0,0.1,0.3,2.8,4.556314,0.604142,0.145337,-0.277398,0.398732
classic_group_crossing_medium,prediction_planner,core,10,0.9,0.3,1.0,0.1,0.3,10.7,13.820637,0.760355,0.098312,-0.048672,0.184311
classic_head_on_corridor_low,hybrid_rule_v3_fast_progress,candidate,10,0.9,0.3,1.0,0.1,0.3,16.5,15.806644,0.683588,0.118228,-0.15612,0.192602
classic_head_on_corridor_low,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.9,0.3,1.0,0.1,0.3,16.5,15.806644,0.683588,0.118228,-0.15612,0.192602
classic_head_on_corridor_low,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.9,0.3,1.0,0.1,0.3,15.6,14.46513,0.690458,0.115422,-0.151699,0.189874
classic_head_on_corridor_low,orca,core,10,0.9,0.3,1.0,0.1,0.3,5.2,4.01995,0.598473,0.138532,0.020832,0.089096
classic_head_on_corridor_low,ppo,core,10,0.9,0.3,1.0,0.1,0.3,2.4,3.97995,0.607252,0.136793,-0.090038,0.064475
classic_head_on_corridor_low,scenario_adaptive_hybrid_orca_v1,candidate,10,0.9,0.3,1.0,0.1,0.3,16.5,15.806644,0.683588,0.118228,-0.15612,0.192602
classic_head_on_corridor_low,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.9,0.3,1.0,0.1,0.3,16.5,15.806644,0.683588,0.118228,-0.15612,0.192602
classic_head_on_corridor_medium,hybrid_rule_v3_fast_progress,candidate,10,0.9,0.3,1.0,0.1,0.3,22.0,17.492856,0.710219,0.124497,-0.300907,0.278921
