scenario_id,scenario_family,core_success_mean,candidate_success_mean,candidate_success_delta,core_collision_mean,candidate_collision_mean,candidate_collision_delta,core_near_misses_mean,candidate_near_misses_mean,candidate_near_miss_delta,core_time_to_goal_norm_mean,candidate_time_to_goal_norm_mean,candidate_time_to_goal_norm_delta,core_comfort_exposure_mean,candidate_comfort_exposure_mean,candidate_comfort_exposure_delta,taxonomy
classic_cross_trap_medium,cross_trap,0.214286,0.64,0.425714,0.685714,0.2,-0.485714,10.214286,8.16,-2.054286,0.904086,0.79584,-0.108246,0.109471,0.10436,-0.005111,seed_sensitive
classic_cross_trap_high,cross_trap,0.142857,0.56,0.417143,0.771429,0.3,-0.471429,11.371429,11.7,0.328571,0.937529,0.8826,-0.054929,0.166771,0.16166,-0.005111,seed_sensitive
francis2023_entering_elevator,entering_elevator,0.585714,1.0,0.414286,0.228571,0.0,-0.228571,0.014286,0.0,-0.014286,0.784443,0.63292,-0.151523,0.0,0.0,0.0,candidate_specific_improvement
francis2023_pedestrian_overtaking,pedestrian_overtaking,0.585714,1.0,0.414286,0.0,0.0,0.0,0.0,0.0,0.0,0.866543,0.7492,-0.117343,0.037814,0.04006,0.002246,candidate_specific_improvement
classic_group_crossing_low,group_crossing,0.5,0.9,0.4,0.1,0.0,-0.1,2.257143,18.04,15.782857,0.828571,0.73272,-0.095851,0.009157,0.0074,-0.001757,candidate_specific_improvement
francis2023_circular_crossing,circular_crossing,0.514286,0.9,0.385714,0.1,0.1,0.0,0.342857,0.5,0.157143,0.804943,0.67806,-0.126883,0.086686,0.08838,0.001694,candidate_specific_improvement
francis2023_perpendicular_traffic,perpendicular_traffic,0.5,0.88,0.38,0.342857,0.0,-0.342857,6.371429,9.8,3.428571,0.795386,0.6649,-0.130486,0.015086,0.0125,-0.002586,candidate_specific_improvement
classic_doorway_high,doorway,0.228571,0.6,0.371429,0.585714,0.02,-0.565714,13.942857,60.12,46.177143,0.924071,0.78362,-0.140451,0.009529,0.00524,-0.004289,seed_sensitive
francis2023_exiting_elevator,exiting_elevator,0.5,0.86,0.36,0.5,0.0,-0.5,11.657143,13.14,1.482857,0.664343,0.68306,0.018717,0.003086,0.0,-0.003086,candidate_specific_improvement
classic_group_crossing_medium,group_crossing,0.542857,0.9,0.357143,0.171429,0.0,-0.171429,5.0,28.96,23.96,0.811571,0.7044,-0.107171,0.024071,0.02022,-0.003851,candidate_specific_improvement
classic_group_crossing_high,group_crossing,0.471429,0.82,0.348571,0.171429,0.0,-0.171429,8.828571,35.98,27.151429,0.8327,0.77012,-0.06258,0.023086,0.01686,-0.006226,candidate_specific_improvement
classic_urban_crossing_medium,crossing,0.471429,0.82,0.348571,0.385714,0.0,-0.385714,3.414286,4.98,1.565714,0.8744,0.77096,-0.10344,0.006843,0.00512,-0.001723,candidate_specific_improvement
francis2023_leave_group,leave_group,0.4,0.74,0.34,0.557143,0.0,-0.557143,19.585714,83.62,64.034286,0.753271,0.74962,-0.003651,0.0411,0.15358,0.11248,candidate_specific_improvement
francis2023_intersection_no_gesture,intersection_no_gesture,0.571429,0.9,0.328571,0.042857,0.0,-0.042857,0.428571,0.0,-0.428571,0.831686,0.75046,-0.081226,8.6e-05,0.0,-8.6e-05,candidate_specific_improvement
francis2023_intersection_proceed,intersection_proceed,0.571429,0.9,0.328571,0.0,0.0,0.0,0.2,0.0,-0.2,0.831771,0.75046,-0.081311,0.0,0.0,0.0,candidate_specific_improvement
francis2023_intersection_wait,intersection_wait,0.571429,0.9,0.328571,0.0,0.0,0.0,0.2,0.0,-0.2,0.831771,0.75046,-0.081311,0.0,0.0,0.0,candidate_specific_improvement
francis2023_join_group,join_group,0.442857,0.62,0.177143,0.485714,0.0,-0.485714,14.442857,68.34,53.897143,0.738986,0.78734,0.048354,0.034114,0.1563,0.122186,seed_sensitive
francis2023_narrow_doorway,narrow_doorway,0.0,0.0,0.0,0.714286,0.0,-0.714286,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,consistently_unsolved
classic_station_platform_medium,station_platform,0.042857,0.04,-0.002857,0.728571,0.4,-0.328571,18.757143,43.9,25.142857,0.990886,0.99946,0.008574,0.0929,0.091,-0.0019,consistently_unsolved
