seed,scenario_id,default_episode_id,ammv_episode_id,default_status,ammv_status,default_success,ammv_success,default_min_clearance,ammv_min_clearance,default_avg_speed,ammv_avg_speed,default_collisions,ammv_collisions,frame_count_default,frame_count_ammv,per_frame_max_abs_delta,robot_max_abs_delta,pedestrians_max_abs_delta,selected_action_max_abs_delta,event_max_abs_delta,ammv_force_vectors_max_abs_delta,behavioral_delta_found
111,classic_head_on_corridor_low,classic_head_on_corridor_low--111--9a1298c6fafc0693,classic_head_on_corridor_low--111--c827deb1f2113342,failure,failure,False,False,0.48436720607506123,0.48436720607506123,1.2008929699625837,1.2008929699625837,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,False
112,classic_head_on_corridor_low,classic_head_on_corridor_low--112--e30cfeff0bee1e63,classic_head_on_corridor_low--112--0547ae69edcc31ff,failure,failure,False,False,6.022389376088377,6.022389376088377,1.214691742673514,1.214691742673514,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,False
113,classic_head_on_corridor_low,classic_head_on_corridor_low--113--992044279ad9bdb2,classic_head_on_corridor_low--113--9483d6d67c3324ad,failure,failure,False,False,4.4253337893935,4.4253337893935,1.2318406091106253,1.2318406091106253,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,False
