artifact_id,trace_path,planner_id,scenario_id,episode_id,category,panel_type,diagnostic_only
trajectory_panel_social_force_ammv_off_issue_2227_ammv_close_front_static_ped_other_issue_2227_ammv_close_front_static_ped_ammv_off_seed42,output/issue_2227_ammv_panel/traces/ammv_off_control_trace.json,social_force_ammv_off,issue_2227_ammv_close_front_static_ped,issue_2227_ammv_close_front_static_ped_ammv_off_seed42,other,trajectory_panel,true
trajectory_panel_social_force_ammv_on_issue_2227_ammv_close_front_static_ped_other_issue_2227_ammv_close_front_static_ped_ammv_on_seed42,output/issue_2227_ammv_panel/traces/ammv_on_intervention_trace.json,social_force_ammv_on,issue_2227_ammv_close_front_static_ped,issue_2227_ammv_close_front_static_ped_ammv_on_seed42,other,trajectory_panel,true
