mechanism_id,scenario_id,seed,baseline_candidate,intervention_candidate,activation_count,first_activation_step,selected_command_source,command_source_changed,progress_delta_after_activation,trajectory_delta_m,terminal_outcome_changed,likely_failure_reason,classification
static_recenter,classic_station_platform_medium,111,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,0,,[],false,,0.0,false,static_recenter_gate_did_not_activate_on_unsolved_heldout_row,mechanism_inactive
static_recenter,francis2023_intersection_wait,111,hybrid_rule_v3_fast_progress,issue_2170_static_recenter_only,0,,[],false,,0.0,false,baseline_already_solved_case_no_recenter_rescue_target,comparator_already_solved_case
