artifact_id,trace_path,planner_id,scenario_id,episode_id,category,panel_type,diagnostic_only
trajectory_panel_ammv_social_force_classic_head_on_corridor_low_other_classic_head_on_corridor_low--111--5fde302d5414e476,docs/context/evidence/issue_2428_mechanism_trace_panels_2026-06-06/traces/ammv_social_force_trace_export.json,ammv_social_force,classic_head_on_corridor_low,classic_head_on_corridor_low--111--5fde302d5414e476,other,trajectory_panel,true
trajectory_panel_default_social_force_classic_head_on_corridor_low_other_classic_head_on_corridor_low--111--b05ccbf52ac7ab9b,docs/context/evidence/issue_2428_mechanism_trace_panels_2026-06-06/traces/default_social_force_trace_export.json,default_social_force,classic_head_on_corridor_low,classic_head_on_corridor_low--111--b05ccbf52ac7ab9b,other,trajectory_panel,true
