# AI-GENERATED NEEDS-REVIEW
# distance_convention: center_center
step,time_s,min_robot_ped_distance_m,nearest_pedestrian_id
0,0.1,7.290662292414402,simulator-slot-2
1,0.2,7.299822613067401,simulator-slot-2
2,0.30000000000000004,7.304698267503992,simulator-slot-2
3,0.4,7.304492100634877,simulator-slot-2
4,0.5,7.29855578804605,simulator-slot-2
5,0.6000000000000001,7.286396387790775,simulator-slot-2
6,0.7000000000000001,7.26832284758365,simulator-slot-2
7,0.8,7.245188227418559,simulator-slot-2
8,0.9,7.218463981338428,simulator-slot-2
9,1.0,7.185682540869887,simulator-slot-2
10,1.1,7.155416203101005,simulator-slot-2
11,1.2000000000000002,7.075038883050107,simulator-slot-0
12,1.3,6.963477403673365,simulator-slot-0
13,1.4000000000000001,6.8547339059116235,simulator-slot-0
14,1.5,6.752437192096828,simulator-slot-0
15,1.6,6.6611799765955455,simulator-slot-0
16,1.7000000000000002,6.584950012144188,simulator-slot-0
17,1.8,6.527537965594709,simulator-slot-0
18,1.9000000000000001,6.49224475005456,simulator-slot-0
19,2.0,6.4828176079950675,simulator-slot-0
20,2.1,6.5016625270918995,simulator-slot-0
21,2.2,6.546562879668677,simulator-slot-0
22,2.3000000000000003,6.613621647416639,simulator-slot-0
23,2.4000000000000004,6.698664164478824,simulator-slot-0
24,2.5,6.797493444465093,simulator-slot-0
25,2.6,6.906049955383717,simulator-slot-0
26,2.7,7.0205326840932045,simulator-slot-0
27,2.8000000000000003,7.139173945643121,simulator-slot-0
28,2.9000000000000004,7.267975088621308,simulator-slot-0
29,3.0,7.412858592001928,simulator-slot-0
30,3.1,7.572894057749562,simulator-slot-0
31,3.2,7.746763015837229,simulator-slot-0
32,3.3000000000000003,7.932813409030722,simulator-slot-0
33,3.4000000000000004,8.129119850771083,simulator-slot-0
34,3.5,8.33360122405844,simulator-slot-0
35,3.6,8.54435691747314,simulator-slot-0
36,3.7,8.75641197623703,simulator-slot-0
37,3.8000000000000003,8.964443752101342,simulator-slot-0
38,3.9000000000000004,9.1673319299768,simulator-slot-0
39,4.0,9.365452014502145,simulator-slot-0
40,4.1000000000000005,9.55931860291551,simulator-slot-0
41,4.2,9.74934844315831,simulator-slot-0
42,4.3,9.935811562599087,simulator-slot-0
43,4.4,10.119045391477346,simulator-slot-0
44,4.5,10.29936160782896,simulator-slot-0
45,4.6000000000000005,10.476902175180573,simulator-slot-0
46,4.7,10.65177386890707,simulator-slot-0
47,4.800000000000001,10.82403096588387,simulator-slot-0
48,4.9,10.989568958679365,simulator-slot-0
49,5.0,11.14382376141264,simulator-slot-0
50,5.1000000000000005,11.285803660776919,simulator-slot-0
51,5.2,11.414626189061124,simulator-slot-0
52,5.300000000000001,11.529525943279626,simulator-slot-0
53,5.4,11.629878935446255,simulator-slot-0
54,5.5,11.715242210030262,simulator-slot-0
55,5.6000000000000005,11.785528296895844,simulator-slot-0
56,5.7,11.841318410568416,simulator-slot-0
57,5.800000000000001,11.88386660789015,simulator-slot-0
58,5.9,11.914767267528411,simulator-slot-0
59,6.0,11.935770467996974,simulator-slot-0
60,6.1000000000000005,11.948756524582462,simulator-slot-0
61,6.2,11.955707192992758,simulator-slot-0
62,6.300000000000001,11.958673165145228,simulator-slot-0
63,6.4,11.957782899789182,simulator-slot-0
64,6.5,11.951182311042952,simulator-slot-0
65,6.6000000000000005,11.938263340297047,simulator-slot-0
