scenario_id,seed,activation_count,first_activation_step,selected_command_source,command_source_changed,progress_delta_after_activation,trajectory_delta_m,terminal_outcome_changed,classification
classic_station_platform_medium,111,0,,[],false,,0.0,false,mechanism_inactive
francis2023_intersection_wait,111,0,,[],false,,0.0,false,comparator_already_solved_case
