step,time_s,min_robot_ped_distance_m,nearest_pedestrian_id
0,0.1,7.197112712273894,3
1,0.2,7.251151989823565,3
2,0.30000000000000004,7.298587164505034,3
3,0.4,7.340036848171664,3
4,0.5,7.376065880758066,3
5,0.6000000000000001,7.407171085980509,3
6,0.7000000000000001,7.433784873326514,3
7,0.8,7.456283761885854,3
8,0.9,7.474997188744454,3
9,1.0,7.490025022955674,3
10,1.1,7.501518165810499,3
11,1.2000000000000002,9.503137007504272,3
12,1.3,9.410504177817481,3
13,1.4000000000000001,9.320691804395597,3
14,1.5,9.232686326212251,3
15,1.6,9.145604645364072,3
16,1.7000000000000002,9.058825882407694,3
17,1.8,8.971919867890133,3
18,1.9000000000000001,8.884568258438232,3
19,2.0,8.797875449154951,3
20,2.1,8.711230875208159,3
21,2.2,8.624201129745938,3
22,2.3000000000000003,8.536491590711204,3
23,2.4000000000000004,8.447902365002077,3
24,2.5,8.358298101945536,3
25,2.6,8.267586473142774,3
26,2.7,8.173522850108226,3
27,2.8000000000000003,8.07794173561342,3
28,2.9000000000000004,7.981357185684922,3
29,3.0,7.88409128826298,3
30,3.1,7.786344312931221,3
31,3.2,7.6885307202085515,3
32,3.3000000000000003,7.590767098234533,3
33,3.4000000000000004,7.49309015879068,3
34,3.5,7.395540322574917,3
35,3.6,7.298075419679454,3
36,3.7,7.200564524303731,3
37,3.8000000000000003,7.102865520470884,3
38,3.9000000000000004,7.00423250701823,3
39,4.0,6.904880368446438,3
40,4.1000000000000005,6.8050756861464325,3
41,4.2,6.70457212572538,3
42,4.3,6.603594612561022,3
43,4.4,6.502096407124581,3
44,4.5,6.400693274624329,3
45,4.6000000000000005,6.298844603591551,3
46,4.7,6.196750908546325,3
47,4.800000000000001,6.094530532609019,3
48,4.9,5.992265660887451,3
49,5.0,5.890023251369571,3
50,5.1000000000000005,5.7878609850190665,3
51,5.2,5.685829556408711,3
52,5.300000000000001,5.583974918881225,3
53,5.4,5.482312161464348,3
54,5.5,5.380902801760678,3
55,5.6000000000000005,5.279800352604247,3
56,5.7,5.179045366891786,3
57,5.800000000000001,5.0787119235453435,3
58,5.9,4.978703935521291,3
59,6.0,4.879105975352878,3
60,6.1000000000000005,4.779998740834568,3
61,6.2,4.68145713338314,3
62,6.300000000000001,4.58355015718271,3
63,6.4,4.48634225155124,3
64,6.5,4.389934311529911,3
65,6.6000000000000005,4.294503791625159,3
66,6.7,4.200009380071264,3
67,6.800000000000001,4.1064588786165475,3
68,6.9,4.013928286932379,3
69,7.0,3.9226026549524913,3
70,7.1000000000000005,3.8325132323980884,3
71,7.2,3.7436884542624913,3
72,7.300000000000001,3.6562991621174574,3
73,7.4,3.5704616857085187,3
74,7.5,3.486331169069724,3
75,7.6000000000000005,3.4040381899875363,3
76,7.7,3.323694046895604,3
77,7.800000000000001,3.247850741841941,3
78,7.9,3.1761473658073176,3
79,8.0,3.1083416178827403,3
80,8.1,3.044297026381218,3
81,8.200000000000001,2.9839639668282643,3
82,8.3,2.927359194926537,3
83,8.4,2.874547581007269,3
84,8.5,2.825627051444986,3
85,8.6,2.7807163305043368,3
