weight_set_id,weight_source_path,weight_sha256,baseline_path,baseline_sha256,planner_key,rank,snqi_score,source_run,job_id,episodes,seed_count,scenario_matrix_hash,comparability_mapping_hash,evidence_status,term_availability_status,caveat
camera_ready_v2,configs/benchmarks/snqi_weights_camera_ready_v2.json,57ae70c1125e64d0ef13f65a63f87dcd2ba96c68356370aa3d27ae039a854c99,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,sacadrl,5,-0.267179694349,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v2,configs/benchmarks/snqi_weights_camera_ready_v2.json,57ae70c1125e64d0ef13f65a63f87dcd2ba96c68356370aa3d27ae039a854c99,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,goal,6,-0.267457845069,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v2,configs/benchmarks/snqi_weights_camera_ready_v2.json,57ae70c1125e64d0ef13f65a63f87dcd2ba96c68356370aa3d27ae039a854c99,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_mpc_cbf,7,-0.307447524357,extended_13273,13273,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v2,configs/benchmarks/snqi_weights_camera_ready_v2.json,57ae70c1125e64d0ef13f65a63f87dcd2ba96c68356370aa3d27ae039a854c99,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_mpc,8,-0.309913802635,extended_13273,13273,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v2,configs/benchmarks/snqi_weights_camera_ready_v2.json,57ae70c1125e64d0ef13f65a63f87dcd2ba96c68356370aa3d27ae039a854c99,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,social_force,9,-0.397349166022,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v3,configs/benchmarks/snqi_weights_camera_ready_v3.json,71a67c3c02faff166f8c96bef8bcf898533981ca2b2c4493829988520fb1aeb2,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,ppo,1,-0.0313572830381,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v3,configs/benchmarks/snqi_weights_camera_ready_v3.json,71a67c3c02faff166f8c96bef8bcf898533981ca2b2c4493829988520fb1aeb2,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,orca,2,-0.1408991705,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v3,configs/benchmarks/snqi_weights_camera_ready_v3.json,71a67c3c02faff166f8c96bef8bcf898533981ca2b2c4493829988520fb1aeb2,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,socnav_sampling,3,-0.144037848781,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v3,configs/benchmarks/snqi_weights_camera_ready_v3.json,71a67c3c02faff166f8c96bef8bcf898533981ca2b2c4493829988520fb1aeb2,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,sacadrl,4,-0.186829575455,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v3,configs/benchmarks/snqi_weights_camera_ready_v3.json,71a67c3c02faff166f8c96bef8bcf898533981ca2b2c4493829988520fb1aeb2,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,goal,5,-0.21603548804,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v3,configs/benchmarks/snqi_weights_camera_ready_v3.json,71a67c3c02faff166f8c96bef8bcf898533981ca2b2c4493829988520fb1aeb2,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_planner,6,-0.229372214276,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v3,configs/benchmarks/snqi_weights_camera_ready_v3.json,71a67c3c02faff166f8c96bef8bcf898533981ca2b2c4493829988520fb1aeb2,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,social_force,7,-0.289684370278,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v3,configs/benchmarks/snqi_weights_camera_ready_v3.json,71a67c3c02faff166f8c96bef8bcf898533981ca2b2c4493829988520fb1aeb2,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_mpc_cbf,8,-0.327015191724,extended_13273,13273,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
camera_ready_v3,configs/benchmarks/snqi_weights_camera_ready_v3.json,71a67c3c02faff166f8c96bef8bcf898533981ca2b2c4493829988520fb1aeb2,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_mpc,9,-0.329324189506,extended_13273,13273,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,
model_canonical_v1,model/snqi_canonical_weights_v1.json,14c2e25fb41edb50f17ac46accf54a09fdbae247ca0e34550b1b1b569bcc8983,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,orca,1,-0.0892846493797,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,known jerk-artifact and canonical-label conflict source
model_canonical_v1,model/snqi_canonical_weights_v1.json,14c2e25fb41edb50f17ac46accf54a09fdbae247ca0e34550b1b1b569bcc8983,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,socnav_sampling,2,-0.156588207726,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,known jerk-artifact and canonical-label conflict source
model_canonical_v1,model/snqi_canonical_weights_v1.json,14c2e25fb41edb50f17ac46accf54a09fdbae247ca0e34550b1b1b569bcc8983,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_planner,3,-0.158372109152,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,known jerk-artifact and canonical-label conflict source
model_canonical_v1,model/snqi_canonical_weights_v1.json,14c2e25fb41edb50f17ac46accf54a09fdbae247ca0e34550b1b1b569bcc8983,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,goal,4,-0.173073679316,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,known jerk-artifact and canonical-label conflict source
model_canonical_v1,model/snqi_canonical_weights_v1.json,14c2e25fb41edb50f17ac46accf54a09fdbae247ca0e34550b1b1b569bcc8983,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,sacadrl,5,-0.173370130135,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,known jerk-artifact and canonical-label conflict source
model_canonical_v1,model/snqi_canonical_weights_v1.json,14c2e25fb41edb50f17ac46accf54a09fdbae247ca0e34550b1b1b569bcc8983,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_mpc_cbf,6,-0.180470967302,extended_13273,13273,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,known jerk-artifact and canonical-label conflict source
model_canonical_v1,model/snqi_canonical_weights_v1.json,14c2e25fb41edb50f17ac46accf54a09fdbae247ca0e34550b1b1b569bcc8983,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,prediction_mpc,7,-0.182135701202,extended_13273,13273,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,known jerk-artifact and canonical-label conflict source
model_canonical_v1,model/snqi_canonical_weights_v1.json,14c2e25fb41edb50f17ac46accf54a09fdbae247ca0e34550b1b1b569bcc8983,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,ppo,8,-0.269536579764,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,known jerk-artifact and canonical-label conflict source
model_canonical_v1,model/snqi_canonical_weights_v1.json,14c2e25fb41edb50f17ac46accf54a09fdbae247ca0e34550b1b1b569bcc8983,configs/benchmarks/snqi_baseline_camera_ready_v3.json,329ca5766491e1587979d0a435c7ba676e148ccdff97040a36546bbb9414035a,social_force,9,-0.386313680021,confirm_13268,13268,144,3,c10df617a87c,6f349046993d,diagnostic-only,complete_raw_terms,known jerk-artifact and canonical-label conflict source
