left_weight_set,right_weight_set,planner_count,common_planners,spearman,kendall_tau,pairwise_reversal_count,pairwise_disagreement_rate,top1_same,top3_jaccard,caveat
camera_ready_v2,camera_ready_v3,9,goal;orca;ppo;prediction_mpc;prediction_mpc_cbf;prediction_planner;sacadrl;social_force;socnav_sampling,0.9,0.777777777778,4,0.111111111111,True,1,diagnostic-only h600 three-seed artifact
camera_ready_v2,default_uniform_1p0,9,goal;orca;ppo;prediction_mpc;prediction_mpc_cbf;prediction_planner;sacadrl;social_force;socnav_sampling,0.983333333333,0.944444444444,1,0.0277777777778,True,1,diagnostic-only h600 three-seed artifact
camera_ready_v2,model_canonical_v1,9,goal;orca;ppo;prediction_mpc;prediction_mpc_cbf;prediction_planner;sacadrl;social_force;socnav_sampling,0.516666666667,0.555555555556,8,0.222222222222,False,0.5,diagnostic-only h600 three-seed artifact
camera_ready_v3,default_uniform_1p0,9,goal;orca;ppo;prediction_mpc;prediction_mpc_cbf;prediction_planner;sacadrl;social_force;socnav_sampling,0.883333333333,0.722222222222,5,0.138888888889,True,1,diagnostic-only h600 three-seed artifact
camera_ready_v3,model_canonical_v1,9,goal;orca;ppo;prediction_mpc;prediction_mpc_cbf;prediction_planner;sacadrl;social_force;socnav_sampling,0.383333333333,0.333333333333,12,0.333333333333,False,0.5,diagnostic-only h600 three-seed artifact
default_uniform_1p0,model_canonical_v1,9,goal;orca;ppo;prediction_mpc;prediction_mpc_cbf;prediction_planner;sacadrl;social_force;socnav_sampling,0.533333333333,0.611111111111,7,0.194444444444,False,0.5,diagnostic-only h600 three-seed artifact
