# AI-GENERATED NEEDS-REVIEW
run_label,job_id,scenario_matrix_hash,planner_key,algo,scenario_family,scenario_id,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
confirm,13268,c10df617a87c,goal,goal,entering_room,francis2023_entering_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2861,1.0000,0.0000,,0.1633
confirm,13268,c10df617a87c,goal,goal,exiting_elevator,francis2023_exiting_elevator,3,0.0000,1.0000,1.0000,0.0000,1.0000,10.3333,1.0000,1.0000,0.0000,,'-0.3716
confirm,13268,c10df617a87c,goal,goal,exiting_room,francis2023_exiting_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2706,1.0000,0.0000,,0.1648
confirm,13268,c10df617a87c,goal,goal,following_human,francis2023_following_human,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.3333,0.5356,1.0000,0.0031,,0.0461
confirm,13268,c10df617a87c,goal,goal,frontal_approach,francis2023_frontal_approach,3,0.0000,1.0000,1.0000,0.0000,1.0000,5.0000,1.0000,1.0000,0.0000,,'-0.2731
confirm,13268,c10df617a87c,goal,goal,group_crossing,classic_group_crossing_high,3,1.0000,0.0000,0.0000,0.0000,0.0000,22.6667,0.3367,1.0000,0.0364,,'-0.1583
confirm,13268,c10df617a87c,goal,goal,group_crossing,classic_group_crossing_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3367,1.0000,0.0129,,0.1333
confirm,13268,c10df617a87c,goal,goal,group_crossing,classic_group_crossing_medium,3,0.6667,0.3333,0.3333,0.0000,0.3333,14.6667,0.5578,1.0000,0.0042,,'-0.1896
confirm,13268,c10df617a87c,goal,goal,head_on_corridor,classic_head_on_corridor_low,3,0.6667,0.3333,0.3333,0.0000,0.3333,7.0000,0.6672,1.0000,0.0108,,'-0.0840
confirm,13268,c10df617a87c,goal,goal,head_on_corridor,classic_head_on_corridor_medium,3,0.0000,1.0000,1.0000,0.0000,1.0000,6.6667,1.0000,1.0000,0.0097,,'-0.3074
confirm,13268,c10df617a87c,goal,goal,intersection_no_gesture,francis2023_intersection_no_gesture,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3861,1.0000,0.0000,,0.1538
confirm,13268,c10df617a87c,goal,goal,intersection_proceed,francis2023_intersection_proceed,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3861,1.0000,0.0000,,0.1538
