scenario_id,scenario_family,planner_key,arm_id,configuration_identity,kinematics,episodes,success_fraction,collision_fraction,ped_collision_fraction,obstacle_collision_fraction,total_collision_fraction,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,snqi_mean,source_row_sha256,terminal_counts
classic_realworld_double_bottleneck_high,bottleneck,hybrid_rule_v3_fast_progress_static_escape,hybrid_rule_v3_fast_progress_static_escape,cd25d8be47ea6cfd,differential_drive,30,1.0,0.0,0.0,0.0,0.0,39.6333,0.6123,0.9981,-0.1926,bd23c7b185a03d707d73f05d459b60c6bcdbcbd14bb0b64fb914d7c65e196d12,{'route_complete': 30}
classic_realworld_double_bottleneck_high,bottleneck,hybrid_rule_v3_fast_progress_static_escape_continuous,hybrid_rule_v3_fast_progress_static_escape_continuous,cd25d8be47ea6cfd,differential_drive,30,1.0,0.0,0.0,0.0,0.0,21.9,0.5964,0.9976,-0.125,f67b72af57d1207302a5665198e630a3866895d8f04b0fa74e86686ef23c4adc,{'route_complete': 30}
classic_realworld_double_bottleneck_high,bottleneck,ppo,ppo,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.3,0.7333,1.0333,8.6667,1.0,0.946,-0.6952,01f85614b43ab64c39963e7042a2017313e23d7c8d3463e18aa6906386c876b1,{'collision_event': 30}
francis2023_blind_corner,blind_corner,hybrid_rule_v3_fast_progress_static_escape,hybrid_rule_v3_fast_progress_static_escape,cd25d8be47ea6cfd,differential_drive,30,0.0,0.9,0.9,0.0,0.9,3.9333,1.0,1.0,-0.3255,8b8ea5d83fb125cbf9f654c15ac3be1f105cb271f732e123b76638d5f83e8ddb,"{'collision_event': 27, 'timeout': 3}"
francis2023_blind_corner,blind_corner,hybrid_rule_v3_fast_progress_static_escape_continuous,hybrid_rule_v3_fast_progress_static_escape_continuous,cd25d8be47ea6cfd,differential_drive,30,0.0,0.9,0.9,0.0,0.9,3.0667,1.0,1.0,-0.3303,711fd700efa61b2414e6c461f5d57932e08084970a7fc2707f3e77207724519e,"{'collision_event': 27, 'timeout': 3}"
francis2023_blind_corner,blind_corner,ppo,ppo,cd25d8be47ea6cfd,differential_drive,30,0.7333,0.2667,0.0,0.2667,0.2667,5.9333,0.5336,0.9855,-0.1355,54f0da2b36352c08fea0a0ccd8c717a47a7cce43561a88f9a7b0c235589e4c4d,"{'route_complete': 22, 'collision_event': 8}"
francis2023_narrow_doorway,narrow_doorway,goal,goal,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.2042,d2e25fe771d6668739f56706ed5d33618cc47e3755c6335aa6917f04e52698f7,{'collision_event': 30}
francis2023_narrow_doorway,narrow_doorway,guarded_ppo,guarded_ppo,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.1997,bb2b5ef856da4b70ddb6a89ae2664e7027ddddfd7b1bc71bfd2ce4471964a9a6,{'collision_event': 30}
francis2023_narrow_doorway,narrow_doorway,hybrid_rule_v3_fast_progress_static_escape,hybrid_rule_v3_fast_progress_static_escape,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.2348,8acc51ddb8b6a3aa53b31f788e368ea840bcb5219573042e01e314068e13f523,{'collision_event': 30}
francis2023_narrow_doorway,narrow_doorway,hybrid_rule_v3_fast_progress_static_escape_continuous,hybrid_rule_v3_fast_progress_static_escape_continuous,cd25d8be47ea6cfd,differential_drive,30,0.0,0.7667,0.0,0.7667,0.7667,0.0,1.0,1.0,-0.4563,e68611871214a81d1f08c98c7cedaf83800319037a7668298c662853b7353d78,"{'collision_event': 23, 'timeout': 7}"
francis2023_narrow_doorway,narrow_doorway,orca,orca,cd25d8be47ea6cfd,differential_drive,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0949,303588c487b4697afcc518a726d9ec2c0bd6d66caba0215a06ca9d0780130ab2,{'timeout': 30}
francis2023_narrow_doorway,narrow_doorway,ppo,ppo,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.238,54ed92c0cffb5ea4e17f5b050d3229ba94d65c70ef6a3040f22edada31b8bec5,{'collision_event': 30}
francis2023_narrow_doorway,narrow_doorway,prediction_planner,prediction_planner,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.1997,e9f6a9c05af5c655044541f245e95f305b5244cac8d515fe7689b6a9d969e60a,{'collision_event': 30}
francis2023_narrow_doorway,narrow_doorway,predictive_mppi,predictive_mppi,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.1997,f978a5902e755b9ed8c8e32dec91ac01b73a02264758d459963bd735ba7ac7e3,{'collision_event': 30}
francis2023_narrow_doorway,narrow_doorway,risk_dwa,risk_dwa,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.1997,06301e28dd7be0fedae09c376d0dca7a4f6343d07aa2023e2517fff8a5a39dbd,{'collision_event': 30}
francis2023_narrow_doorway,narrow_doorway,sacadrl,sacadrl,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.4447,7ff893db70e28ff29d9d2683373eb2df88ce4c4663495762ff3f26aeb917a0c2,{'collision_event': 30}
francis2023_narrow_doorway,narrow_doorway,scenario_adaptive_hybrid_orca_v1,scenario_adaptive_hybrid_orca_v1,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.2353,70b46a15fd2da9bf5ebb205147228d5ea60c518fdccca3bf16d80eb7f5f3454e,{'collision_event': 30}
francis2023_narrow_doorway,narrow_doorway,scenario_adaptive_hybrid_orca_v2_collision_guard,scenario_adaptive_hybrid_orca_v2_collision_guard,cd25d8be47ea6cfd,differential_drive,30,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.2353,f08afb764e54bbe1d3ad12f45261405e252995f289b39290ba60a0b11d704f9e,{'collision_event': 30}
