mechanism_id,arm,flag,enabled,planner_id,frame_count,activated,terminal_success,terminal_steps,termination_reason,trace_path
static_recenter,off,static_recenter_enabled,False,hybrid_rule_local_planner_static_recenter_enabled_off,160,False,False,160,max_steps,output/issue_2227_recenter_topology/traces/static_recenter/static_recenter_off.json
static_recenter,on,static_recenter_enabled,True,hybrid_rule_local_planner_static_recenter_enabled_on,122,True,True,122,success,output/issue_2227_recenter_topology/traces/static_recenter/static_recenter_on.json
topology_command,off,topology_command_enabled,False,topology_guided_hybrid_rule_v0_topology_command_enabled_off,157,False,True,157,success,output/issue_2227_recenter_topology/traces/topology_command/topology_command_off.json
topology_command,on,topology_command_enabled,True,topology_guided_hybrid_rule_v0_topology_command_enabled_on,160,True,False,160,max_steps,output/issue_2227_recenter_topology/traces/topology_command/topology_command_on.json
