planner_key,algo,scenario_family,use_case,context,speed_regime,maneuver_type,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
orca,orca,down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2889,1.0000,0.0000,,0.1604
orca,orca,entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1950,1.0000,0.0000,,'-0.0313
orca,orca,entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1544,1.0000,0.0000,,0.1666
orca,orca,exiting_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,10.3333,0.1944,1.0000,0.0000,,'-0.1944
orca,orca,exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1494,1.0000,0.0000,,0.1642
orca,orca,following_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,8.3333,0.2878,1.0000,0.0058,,0.0398
orca,orca,frontal_approach,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.2928,1.0000,0.0000,,0.0236
orca,orca,group_crossing,,,,,9,0.7778,0.2222,0.1111,0.1111,0.2222,5.3333,0.3661,1.0000,0.0252,,'-0.0791
orca,orca,head_on_corridor,,,,,6,1.0000,0.0000,0.0000,0.0000,0.0000,5.3333,0.2694,1.0000,0.0148,,0.0737
orca,orca,intersection_no_gesture,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
orca,orca,intersection_proceed,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
orca,orca,intersection_wait,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2033,1.0000,0.0000,,0.1712
orca,orca,join_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,3.6667,1.0000,1.0000,0.0133,,'-0.3413
orca,orca,leading_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2844,1.0000,0.0058,,0.1593
orca,orca,leave_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,13.6667,1.0000,1.0000,0.0267,,'-0.5418
orca,orca,merging,,,,,6,0.3333,0.6667,0.5000,0.1667,0.6667,90.0000,0.9539,0.7637,0.0181,,'-0.6307
orca,orca,narrow_doorway,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-1.0949
orca,orca,narrow_hallway,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,38.3333,0.2661,1.0000,0.0125,,'-0.1930
orca,orca,overtaking,,,,,6,0.5000,0.5000,0.3333,0.1667,0.5000,6.1667,0.6997,0.9002,0.0117,,'-0.4316
orca,orca,parallel_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,35.3333,0.3883,1.0000,0.0409,,'-0.3348
orca,orca,pedestrian_obstruction,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,10.3333,0.2894,1.0000,0.0000,,0.0113
orca,orca,pedestrian_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2878,1.0000,0.0326,,0.1507
orca,orca,perpendicular_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.2189,1.0000,0.0058,,0.0780
orca,orca,robot_crowding,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,13.3333,0.4672,0.9255,0.1247,,'-0.4246
orca,orca,robot_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.2983,1.0000,0.0000,,0.0226
orca,orca,station_platform,,,,,3,0.3333,0.6667,0.3333,0.3333,0.6667,39.0000,0.9400,0.9000,0.0121,,'-0.5901
orca,orca,t_intersection,,,,,6,1.0000,0.0000,0.0000,0.0000,0.0000,8.8333,0.2669,0.9528,0.0338,,'-0.0200
ppo,ppo,accompanying_peer,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2806,1.0000,0.0059,,0.1389
ppo,ppo,blind_corner,,,,,3,0.3333,0.6667,0.0000,0.6667,0.6667,3.0000,0.7894,0.9963,0.0000,,'-0.2338
ppo,ppo,bottleneck,,,,,12,0.2500,0.7500,0.1667,0.5833,0.7500,6.5000,0.8001,1.0000,0.0003,,'-0.4141
ppo,ppo,circular_crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4144,1.0000,0.2455,,'-0.0865
ppo,ppo,cross_trap,,,,,9,0.6667,0.3333,0.3333,0.0000,0.3333,9.8889,0.6243,0.7720,0.1891,,'-0.2219
ppo,ppo,crossing,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2983,1.0000,0.0063,,0.1151
ppo,ppo,crowd_navigation,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.2172,0.9854,0.0501,,'-0.2369
ppo,ppo,doorway,,,,,9,0.2222,0.7778,0.6667,0.1111,0.7778,12.0000,0.8074,1.0000,0.0175,,'-0.7702
ppo,ppo,down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2811,1.0000,0.0000,,0.1466
ppo,ppo,entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1039,1.0000,0.0000,,0.1059
ppo,ppo,entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1544,1.0000,0.0000,,0.0953
