# AI-GENERATED NEEDS-REVIEW
planner_group,planner,latency_step,latency_ms,seed,scenario_id,execution_mode,availability_status,success,collision,time_to_goal_norm,near_miss_rate,steps,comfort_exposure_mean
orca,orca,0,0.0,112,classic_cross_trap_medium,adapter,available,False,True,0.5388888888888889,0.0,97,0.015463917525773196
orca,orca,0,0.0,112,classic_cross_trap_high,adapter,available,False,True,0.005555555555555556,0.0,1,0.5833333333333334
orca,orca,0,0.0,112,classic_doorway_low,adapter,available,False,True,0.7833333333333333,0.0,141,0.0070921985815602835
orca,orca,0,0.0,112,classic_doorway_medium,adapter,available,False,True,0.5277777777777778,0.0,95,0.007017543859649122
orca,orca,0,0.0,112,classic_doorway_high,adapter,available,False,True,0.8222222222222222,0.0,148,0.0015015015015015015
orca,orca,0,0.0,112,classic_group_crossing_low,adapter,available,True,False,0.6055555555555555,0.0,109,0.0
orca,orca,0,0.0,112,classic_group_crossing_medium,adapter,available,True,False,0.6055555555555555,0.0,109,0.0061162079510703364
orca,orca,0,0.0,112,classic_group_crossing_high,adapter,available,False,True,0.42777777777777776,0.0,77,0.11038961038961038
orca,orca,0,0.0,112,classic_head_on_corridor_low,adapter,available,False,False,1.0,0.13333333333333333,180,0.005555555555555556
orca,orca,0,0.0,112,classic_head_on_corridor_medium,adapter,available,False,False,1.0,0.2611111111111111,180,0.001388888888888889
orca,orca,0,0.0,112,classic_merging_low,adapter,available,False,True,0.8333333333333334,0.06,150,0.01
orca,orca,0,0.0,112,classic_merging_medium,adapter,available,False,True,0.8555555555555555,0.08441558441558442,154,0.013708513708513708
orca,orca,0,0.0,112,classic_overtaking_low,adapter,available,False,False,1.0,0.0,180,0.03333333333333333
orca,orca,0,0.0,112,classic_overtaking_medium,adapter,available,False,False,1.0,0.0,180,0.004629629629629629
orca,orca,0,0.0,112,classic_t_intersection_low,adapter,available,True,False,0.8222222222222222,0.0,148,0.006756756756756757
orca,orca,0,0.0,112,classic_t_intersection_medium,adapter,available,True,False,0.8222222222222222,0.0,148,0.013513513513513513
orca,orca,0,0.0,112,classic_urban_crossing_medium,adapter,available,True,False,0.9722222222222222,0.02857142857142857,175,0.005714285714285714
orca,orca,0,0.0,112,francis2023_frontal_approach,adapter,available,True,False,1.0,0.06111111111111111,180,0.0
orca,orca,0,0.0,112,francis2023_pedestrian_obstruction,adapter,available,True,False,0.9888888888888889,0.056179775280898875,178,0.0
orca,orca,0,0.0,112,francis2023_pedestrian_overtaking,adapter,available,True,False,0.9666666666666667,0.0,174,0.034482758620689655
orca,orca,0,0.0,112,francis2023_robot_overtaking,adapter,available,False,False,1.0,0.0,180,0.0
orca,orca,0,0.0,112,francis2023_down_path,adapter,available,True,False,0.95,0.0,171,0.0
orca,orca,0,0.0,112,francis2023_intersection_no_gesture,adapter,available,True,False,0.6888888888888889,0.0,124,0.0
orca,orca,0,0.0,112,francis2023_blind_corner,adapter,available,False,False,1.0,0.0,180,0.0
orca,orca,0,0.0,112,francis2023_narrow_hallway,adapter,available,False,True,0.55,0.0707070707070707,99,0.020202020202020204
orca,orca,0,0.0,112,francis2023_narrow_doorway,adapter,available,False,True,0.37222222222222223,0.0,67,0.0
orca,orca,0,0.0,112,francis2023_entering_room,adapter,available,True,False,0.5222222222222223,0.0,94,0.0
orca,orca,0,0.0,112,francis2023_exiting_room,adapter,available,False,True,0.6277777777777778,0.0,113,0.0
orca,orca,0,0.0,112,francis2023_entering_elevator,adapter,available,False,True,0.2833333333333333,0.0,51,0.0
orca,orca,0,0.0,112,francis2023_exiting_elevator,adapter,available,False,False,1.0,0.0,180,0.0
orca,orca,0,0.0,112,francis2023_intersection_wait,adapter,available,True,False,0.6888888888888889,0.0,124,0.0
orca,orca,0,0.0,112,francis2023_intersection_proceed,adapter,available,True,False,0.6888888888888889,0.0,124,0.0
orca,orca,0,0.0,112,francis2023_following_human,adapter,available,True,False,0.9555555555555556,0.0,172,0.005813953488372093
orca,orca,0,0.0,112,francis2023_leading_human,adapter,available,True,False,0.9388888888888889,0.0,169,0.005917159763313609
orca,orca,0,0.0,112,francis2023_accompanying_peer,adapter,available,True,False,0.9388888888888889,0.0,169,0.005917159763313609
orca,orca,0,0.0,112,francis2023_join_group,adapter,available,False,True,0.4,0.05555555555555555,72,0.009259259259259259
orca,orca,0,0.0,112,francis2023_leave_group,adapter,available,True,False,0.5222222222222223,0.2127659574468085,94,0.028368794326241138
orca,orca,0,0.0,112,francis2023_crowd_navigation,adapter,available,True,False,0.85,0.16339869281045752,153,0.04284676833696442
orca,orca,0,0.0,112,francis2023_parallel_traffic,adapter,available,False,False,1.0,0.0,180,0.05347222222222222
orca,orca,0,0.0,112,francis2023_perpendicular_traffic,adapter,available,True,False,0.7444444444444445,0.11940298507462686,134,0.014925373134328356
orca,orca,0,0.0,112,francis2023_circular_crossing,adapter,available,True,False,0.4111111111111111,0.0,74,0.024774774774774775
orca,orca,0,0.0,112,francis2023_robot_crowding,adapter,available,False,True,0.39444444444444443,0.056338028169014086,71,0.08450704225352114
orca,orca,0,0.0,113,classic_bottleneck_low,adapter,available,True,False,0.6555555555555556,0.0,118,0.0
orca,orca,0,0.0,113,classic_bottleneck_medium,adapter,available,False,True,0.6444444444444445,0.0,116,0.0
orca,orca,0,0.0,113,classic_bottleneck_high,adapter,available,False,True,0.7277777777777777,0.0,131,0.0
orca,orca,0,0.0,113,classic_realworld_double_bottleneck_high,adapter,available,False,True,0.6944444444444444,0.152,125,0.0
orca,orca,0,0.0,113,classic_station_platform_medium,adapter,available,False,False,1.0,0.0,180,0.0047008547008547015
orca,orca,0,0.0,113,classic_cross_trap_low,adapter,available,False,False,1.0,0.0,180,0.011111111111111112
orca,orca,0,0.0,113,classic_cross_trap_medium,adapter,available,False,True,0.7,0.09523809523809523,126,0.006944444444444444
orca,orca,0,0.0,113,classic_cross_trap_high,adapter,available,False,True,0.7,0.09523809523809523,126,0.0033068783068783067
orca,orca,0,0.0,113,classic_doorway_low,adapter,available,False,True,0.36666666666666664,0.10606060606060606,66,0.0202020202020202
orca,orca,0,0.0,113,classic_doorway_medium,adapter,available,False,True,0.6444444444444445,0.05172413793103448,116,0.0028735632183908046
orca,orca,0,0.0,113,classic_doorway_high,adapter,available,False,True,0.8111111111111111,0.0,146,0.009132420091324202
orca,orca,0,0.0,113,classic_group_crossing_low,adapter,available,True,False,0.6111111111111112,0.0,110,0.07272727272727272
orca,orca,0,0.0,113,classic_group_crossing_medium,adapter,available,True,False,0.6111111111111112,0.0,110,0.012121212121212121
orca,orca,0,0.0,113,classic_group_crossing_high,adapter,available,False,True,0.38333333333333336,0.08695652173913043,69,0.025362318840579712
orca,orca,0,0.0,113,classic_head_on_corridor_low,adapter,available,False,False,1.0,0.0,180,0.04722222222222222
orca,orca,0,0.0,113,classic_head_on_corridor_medium,adapter,available,False,False,1.0,0.0,180,0.015277777777777777
orca,orca,0,0.0,113,classic_merging_low,adapter,available,False,True,0.8111111111111111,0.06164383561643835,146,0.015410958904109588
orca,orca,0,0.0,113,classic_merging_medium,adapter,available,False,True,0.8333333333333334,0.05333333333333334,150,0.03259259259259259
orca,orca,0,0.0,113,classic_overtaking_low,adapter,available,False,False,1.0,0.0,180,0.016666666666666666
orca,orca,0,0.0,113,classic_overtaking_medium,adapter,available,False,True,0.4388888888888889,0.0,79,0.016877637130801686
orca,orca,0,0.0,113,classic_t_intersection_low,adapter,available,True,False,0.8,0.0,144,0.08680555555555555
orca,orca,0,0.0,113,classic_t_intersection_medium,adapter,available,True,False,0.7888888888888889,0.0,142,0.030516431924882625
orca,orca,0,0.0,113,classic_urban_crossing_medium,adapter,available,True,False,0.9833333333333333,0.0,177,0.006779661016949152
orca,orca,0,0.0,113,francis2023_frontal_approach,adapter,available,True,False,1.0,0.06111111111111111,180,0.0
orca,orca,0,0.0,113,francis2023_pedestrian_obstruction,adapter,available,True,False,0.9888888888888889,0.05056179775280899,178,0.0
orca,orca,0,0.0,113,francis2023_pedestrian_overtaking,adapter,available,True,False,0.9722222222222222,0.0,175,0.03428571428571429
orca,orca,0,0.0,113,francis2023_robot_overtaking,adapter,available,False,False,1.0,0.0,180,0.0
orca,orca,0,0.0,113,francis2023_down_path,adapter,available,True,False,0.9555555555555556,0.0,172,0.0
orca,orca,0,0.0,113,francis2023_intersection_no_gesture,adapter,available,True,False,0.6944444444444444,0.0,125,0.0
orca,orca,0,0.0,113,francis2023_blind_corner,adapter,available,False,False,1.0,0.0,180,0.0
orca,orca,0,0.0,113,francis2023_narrow_hallway,adapter,available,False,True,0.5611111111111111,0.06930693069306931,101,0.019801980198019802
orca,orca,0,0.0,113,francis2023_narrow_doorway,adapter,available,False,True,0.3888888888888889,0.0,70,0.0
orca,orca,0,0.0,113,francis2023_entering_room,adapter,available,True,False,0.5277777777777778,0.0,95,0.0
orca,orca,0,0.0,113,francis2023_exiting_room,adapter,available,False,True,0.6222222222222222,0.0,112,0.0
orca,orca,0,0.0,113,francis2023_entering_elevator,adapter,available,False,True,0.29444444444444445,0.0,53,0.0
orca,orca,0,0.0,113,francis2023_exiting_elevator,adapter,available,False,False,1.0,0.0,180,0.0
orca,orca,0,0.0,113,francis2023_intersection_wait,adapter,available,True,False,0.6944444444444444,0.0,125,0.0
orca,orca,0,0.0,113,francis2023_intersection_proceed,adapter,available,True,False,0.6944444444444444,0.0,125,0.0
orca,orca,0,0.0,113,francis2023_following_human,adapter,available,True,False,0.9611111111111111,0.0,173,0.005780346820809248
orca,orca,0,0.0,113,francis2023_leading_human,adapter,available,True,False,0.9388888888888889,0.0,169,0.005917159763313609
orca,orca,0,0.0,113,francis2023_accompanying_peer,adapter,available,True,False,0.9388888888888889,0.0,169,0.005917159763313609
orca,orca,0,0.0,113,francis2023_join_group,adapter,available,False,True,0.4166666666666667,0.05333333333333334,75,0.008888888888888889
orca,orca,0,0.0,113,francis2023_leave_group,adapter,available,False,True,0.5222222222222223,0.1702127659574468,94,0.03900709219858156
orca,orca,0,0.0,113,francis2023_crowd_navigation,adapter,available,True,False,0.7388888888888889,0.06766917293233082,133,0.0810359231411863
orca,orca,0,0.0,113,francis2023_parallel_traffic,adapter,available,False,False,1.0,0.0,180,0.03888888888888889
