planner_group,planner,execution_mode,latency_steps,latency_ms_equivalent,paired_units,snqi_mean,snqi_delta_vs_zero,snqi_slope_per_100ms,snqi_slope_ci_low,snqi_slope_ci_high,point_estimate_robustness_rank
default_social_force,baseline_social_force,native,0,0,144,-0.17916674537606136,0.0,-0.00297363553542772,-0.009792257373607541,0.003716541543963724,1
default_social_force,baseline_social_force,native,1,100,144,-0.18155452226489133,-0.002387776888829962,-0.00297363553542772,-0.009792257373607541,0.003716541543963724,1
default_social_force,baseline_social_force,native,3,300,144,-0.18797048025302496,-0.008803734876963593,-0.00297363553542772,-0.009792257373607541,0.003716541543963724,1
hybrid_rule_v0_minimal,hybrid_rule_v0_minimal,adapter,0,0,144,-0.14010406096307007,0.0,-0.005286781423387421,-0.011916146859981634,0.0010017639104608826,2
hybrid_rule_v0_minimal,hybrid_rule_v0_minimal,adapter,1,100,144,-0.15518409532822824,-0.015080034365158174,-0.005286781423387421,-0.011916146859981634,0.0010017639104608826,2
hybrid_rule_v0_minimal,hybrid_rule_v0_minimal,adapter,3,300,144,-0.15792305582158644,-0.017818994858516374,-0.005286781423387421,-0.011916146859981634,0.0010017639104608826,2
orca,orca,adapter,0,0,144,-0.08880866292159663,0.0,-0.0137624125857547,-0.019933367200262793,-0.007928230673387096,3
orca,orca,adapter,1,100,144,-0.09516701449382801,-0.006358351572231386,-0.0137624125857547,-0.019933367200262793,-0.007928230673387096,3
orca,orca,adapter,3,300,144,-0.12861508847615608,-0.039806425554559446,-0.0137624125857547,-0.019933367200262793,-0.007928230673387096,3
