# AI-GENERATED NEEDS-REVIEW
# distance_convention: surface_clearance
planner,planner_group,latency_step,latency_ms,variant,variant_source_key,baseline_variant,seed,scenario_id,success_rate,collision_rate,min_clearance,classification,exclusion_reason,execution_mode,availability_status
orca,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,101,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.31360487595618347,result,,native,available
orca,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,102,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.3751806449444436,result,,native,available
orca,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,103,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.08818231500104623,result,,native,available
orca,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,101,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.2708260927385616,result,,native,available
orca,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,102,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.32944293256086266,result,,native,available
orca,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,103,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.04073534878349305,result,,native,available
orca,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,101,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.24791022544711183,result,,native,available
orca,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,102,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.20414155910386145,result,,native,available
orca,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,103,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.03367547094390433,result,,native,available
orca,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,101,issue_5034_classic_crossing_mixed,0.0,0.0,0.4249564688294013,result,,native,available
orca,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,102,issue_5034_classic_crossing_mixed,0.0,0.0,0.09929119727154234,result,,native,available
orca,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,103,issue_5034_classic_crossing_mixed,0.0,0.0,0.07024208248849295,result,,native,available
orca,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,101,issue_5034_classic_crossing_mixed,0.0,0.0,0.4566555702666938,result,,native,available
orca,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,102,issue_5034_classic_crossing_mixed,0.0,0.0,0.09084581237149247,result,,native,available
orca,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,103,issue_5034_classic_crossing_mixed,0.0,0.0,0.07789439070431381,result,,native,available
orca,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,101,issue_5034_classic_crossing_mixed,0.0,0.0,0.6058817881979864,result,,native,available
orca,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,102,issue_5034_classic_crossing_mixed,0.0,0.0,0.15282274025643383,result,,native,available
orca,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,103,issue_5034_classic_crossing_mixed,0.0,0.0,0.18762040014953307,result,,native,available
hybrid_rule_v0_minimal,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,101,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.2842341653806556,result,,native,available
hybrid_rule_v0_minimal,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,102,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.1849415741432373,result,,native,available
hybrid_rule_v0_minimal,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,103,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.261380770331464,result,,native,available
hybrid_rule_v0_minimal,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,101,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.2883366711383256,result,,native,available
hybrid_rule_v0_minimal,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,102,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.23273205861269364,result,,native,available
hybrid_rule_v0_minimal,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,103,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.2564322878191244,result,,native,available
hybrid_rule_v0_minimal,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,101,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.46533249126015785,result,,native,available
hybrid_rule_v0_minimal,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,102,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.27271115374234245,result,,native,available
hybrid_rule_v0_minimal,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,103,issue_5034_classic_crossing_homogeneous,0.0,0.0,0.38006651837377314,result,,native,available
hybrid_rule_v0_minimal,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,101,issue_5034_classic_crossing_mixed,0.0,0.0,1.5037482583350523,result,,native,available
hybrid_rule_v0_minimal,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,102,issue_5034_classic_crossing_mixed,0.0,0.0,1.2614003547117583,result,,native,available
hybrid_rule_v0_minimal,,0,0.0,control_action_latency__zero_step_nominal,zero_step_nominal,True,103,issue_5034_classic_crossing_mixed,0.0,0.0,1.2361994953229036,result,,native,available
hybrid_rule_v0_minimal,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,101,issue_5034_classic_crossing_mixed,0.0,0.0,1.598648044347911,result,,native,available
hybrid_rule_v0_minimal,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,102,issue_5034_classic_crossing_mixed,0.0,0.0,1.3394608872295266,result,,native,available
hybrid_rule_v0_minimal,,1,100.0,control_action_latency__one_step_100ms,one_step_100ms,False,103,issue_5034_classic_crossing_mixed,0.0,0.0,1.298412780456776,result,,native,available
hybrid_rule_v0_minimal,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,101,issue_5034_classic_crossing_mixed,0.0,0.0,1.7892881180866866,result,,native,available
hybrid_rule_v0_minimal,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,102,issue_5034_classic_crossing_mixed,0.0,0.0,1.484882631995573,result,,native,available
hybrid_rule_v0_minimal,,3,300.0,control_action_latency__three_step_300ms,three_step_300ms,False,103,issue_5034_classic_crossing_mixed,0.0,0.0,1.375671007744756,result,,native,available
