representation,harness_decision,harness_reason,generalization_verdict,episodes,retained_unsafe_commit_rate,dropped_unsafe_commit_rate,unsafe_commit_rate_delta_dropped_minus_retained,retained_worst_min_separation_m,dropped_worst_min_separation_m,min_separation_delta_dropped_minus_retained_m,uncertainty_consumed_any,fail_closed_any
belief_drop,revise,"dropping uncertain agents increased unsafe commitment (unsafe_commit_steps +201, worst_min_sep delta 0.452m); the uncertainty-dropping default should be revised/blocked for safety-relevant use",reproduces_unsafe_dropping,12,0.038298,0.284722,0.246424,-0.1694,-0.6212,-0.4518,True,False
conformal_radius,revise,"dropping uncertain agents increased unsafe commitment (unsafe_commit_steps +201, worst_min_sep delta 0.452m); the uncertainty-dropping default should be revised/blocked for safety-relevant use",reproduces_unsafe_dropping,12,0.038298,0.284722,0.246424,-0.1694,-0.6212,-0.4518,True,False
envelope_inflation,revise,"dropping uncertain agents increased unsafe commitment (unsafe_commit_steps +201, worst_min_sep delta 0.452m); the uncertainty-dropping default should be revised/blocked for safety-relevant use",reproduces_unsafe_dropping,12,0.038298,0.284722,0.246424,-0.1694,-0.6212,-0.4518,True,False
