scenario_id,classification,seed_count,planner_count,mean_success,min_seed_success,max_seed_success,seed_success_range,hard_seeds,easy_seeds,most_brittle_planner,most_brittle_planner_success_range,missing_cell_count
classic_realworld_double_bottleneck_high,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_accompanying_peer,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_crowd_navigation,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_down_path,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_entering_elevator,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_entering_room,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_exiting_room,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_following_human,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_frontal_approach,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_leading_human,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_narrow_doorway,not_seed_sensitive,10,4,0.0000,0.0000,0.0000,0.0000,111 112 113 114 115 116 117 118 119 120,,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_parallel_traffic,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_pedestrian_obstruction,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_pedestrian_overtaking,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_robot_crowding,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
francis2023_robot_overtaking,not_seed_sensitive,10,4,1.0000,1.0000,1.0000,0.0000,,111 112 113 114 115 116 117 118 119 120,scenario_adaptive_hybrid_orca_v2_collision_guard,0.0000,0
