scenario_id,seed,classification,mean_success,mean_collision,planner_count
classic_group_crossing_low,117,hard,0.0000,0.0000,4
classic_group_crossing_low,111,easy,1.0000,0.0000,4
classic_group_crossing_low,112,easy,1.0000,0.0000,4
classic_group_crossing_low,113,easy,1.0000,0.0000,4
classic_group_crossing_low,114,easy,1.0000,0.0000,4
classic_group_crossing_low,115,easy,1.0000,0.0000,4
classic_group_crossing_low,116,easy,1.0000,0.0000,4
classic_group_crossing_low,118,easy,1.0000,0.0000,4
classic_group_crossing_low,119,easy,1.0000,0.0000,4
classic_group_crossing_low,120,easy,1.0000,0.0000,4
classic_group_crossing_medium,117,hard,0.2500,0.0000,4
classic_group_crossing_medium,119,easy,0.7500,0.0000,4
classic_group_crossing_medium,111,easy,1.0000,0.0000,4
classic_group_crossing_medium,112,easy,1.0000,0.0000,4
classic_group_crossing_medium,113,easy,1.0000,0.0000,4
classic_group_crossing_medium,114,easy,1.0000,0.0000,4
classic_group_crossing_medium,115,easy,1.0000,0.0000,4
classic_group_crossing_medium,116,easy,1.0000,0.0000,4
classic_group_crossing_medium,118,easy,1.0000,0.0000,4
classic_group_crossing_medium,120,easy,1.0000,0.0000,4
classic_head_on_corridor_low,116,hard,0.0000,1.0000,4
classic_head_on_corridor_low,111,easy,1.0000,0.0000,4
classic_head_on_corridor_low,112,easy,1.0000,0.0000,4
classic_head_on_corridor_low,113,easy,1.0000,0.0000,4
classic_head_on_corridor_low,114,easy,1.0000,0.0000,4
classic_head_on_corridor_low,115,easy,1.0000,0.0000,4
classic_head_on_corridor_low,117,easy,1.0000,0.0000,4
classic_head_on_corridor_low,118,easy,1.0000,0.0000,4
classic_head_on_corridor_low,119,easy,1.0000,0.0000,4
classic_head_on_corridor_low,120,easy,1.0000,0.0000,4
classic_head_on_corridor_medium,116,hard,0.0000,1.0000,4
classic_head_on_corridor_medium,111,easy,1.0000,0.0000,4
classic_head_on_corridor_medium,112,easy,1.0000,0.0000,4
classic_head_on_corridor_medium,113,easy,1.0000,0.0000,4
classic_head_on_corridor_medium,114,easy,1.0000,0.0000,4
classic_head_on_corridor_medium,115,easy,1.0000,0.0000,4
classic_head_on_corridor_medium,117,easy,1.0000,0.0000,4
classic_head_on_corridor_medium,118,easy,1.0000,0.0000,4
classic_head_on_corridor_medium,119,easy,1.0000,0.0000,4
