# AI-GENERATED NEEDS-REVIEW
step,time_s,min_robot_ped_distance_m,nearest_pedestrian_id
0,0.1,8.11300614295972,2
1,0.2,8.059921542445183,2
2,0.30000000000000004,7.998701742928483,2
3,0.4,7.930452514947208,2
4,0.5,7.856162827974737,2
5,0.6000000000000001,7.776720252112889,2
6,0.7000000000000001,7.692924302031563,2
7,0.8,7.605497929465689,2
8,0.9,9.678167772982018,0
9,1.0,9.573445672668742,0
10,1.1,9.465498977444213,0
11,1.2000000000000002,9.354764679515624,0
12,1.3,9.241638790848675,0
13,1.4000000000000001,9.126481324840045,0
14,1.5,9.009620530258942,0
15,1.6,8.891356515491761,0
16,1.7000000000000002,8.771964379343437,0
17,1.8,8.651696940114338,0
18,1.9000000000000001,8.530787137768483,0
19,2.0,8.40945017115293,0
20,2.1,8.287885417788083,0
21,2.2,8.166278174328617,0
22,2.3000000000000003,8.044801248068989,0
23,2.4000000000000004,7.923616421716045,0
24,2.5,7.802875809633296,0
25,2.6,7.682723119678392,0
26,2.7,7.563294830578642,0
27,2.8000000000000003,7.444738077078942,0
28,2.9000000000000004,7.327207925216502,0
29,3.0,7.210848549960784,0
30,3.1,7.095794833256916,0
31,3.2,6.982173899499596,0
32,3.3000000000000003,6.870106531074577,0
33,3.4000000000000004,6.7597084655233015,0
34,3.5,6.651091576757945,0
35,3.6,6.544364940624584,0
36,3.7,6.43963578773187,0
37,3.8000000000000003,6.337222153426016,0
38,3.9000000000000004,6.2373274796196725,0
39,4.0,6.1398437487292705,0
40,4.1000000000000005,6.044675404062655,0
41,4.2,5.95174131731044,0
42,4.3,5.860976189935861,0
43,4.4,5.772331495586734,0
44,4.5,5.685776055283151,0
45,4.6000000000000005,5.601296322495084,0
46,4.7,5.518896440239343,0
47,4.800000000000001,5.438598118063897,0
48,4.9,5.360440364992024,0
49,5.0,5.28447910242581,0
50,5.1000000000000005,5.210786671781346,0
51,5.2,5.139451242423105,0
52,5.300000000000001,5.070576118048051,0
53,5.4,5.0042789335281155,0
54,5.5,4.9406907291368904,0
55,5.6000000000000005,4.879954886058653,0
56,5.7,4.8222259050726795,0
57,5.800000000000001,4.767668009965682,0
58,5.9,4.71645355964945,0
59,6.0,4.668761257199776,0
60,6.1000000000000005,4.624774149845792,0
61,6.2,4.584680044256671,0
62,6.300000000000001,4.548676691560414,0
63,6.4,4.5169616028437884,0
64,6.5,4.489718077877892,0
65,6.6000000000000005,4.46711365776721,0
66,6.7,4.449298593318672,0
67,6.800000000000001,4.436404388468356,0
