scenario_matrix,scenario_matrix_hash,scenario_count,scenario_candidates,synthetic_actuation_profile,latency_stress_profile,planner_key,algo,human_model_variant,human_model_source,planner_group,benchmark_profile,observation_mode,kinematics,seed_policy.mode,seed_policy.seed_set,resolved_seeds,repeats,horizon_mode,horizon,scenario_horizons_path,paper_facing,paper_profile_version,observation_noise.profile,observation_noise.enabled,observation_noise_hash,config_hash,git_commit,campaign_id,created_at_utc
configs/scenarios/nominal_v1.yaml,e5fc81d3eef3,4,[],,,orca,orca,,,core,baseline-safe,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,fixed,100,,False,,none,False,0a5609f0b2b1,60448a7228d1a450,83b9de4284ab49a6338116fdc5f13ebc5e34f40b,issue_6095_nominal_discriminability_v1_20260725_final,2026-07-25T14:49:50.021824Z
configs/scenarios/nominal_v1.yaml,e5fc81d3eef3,4,[],,,ppo,ppo,,,experimental,experimental,,differential_drive,seed-set,paper_eval_s10,"[111, 112, 113, 114, 115, 116, 117, 118, 119, 120]",10,fixed,100,,False,,none,False,0a5609f0b2b1,60448a7228d1a450,83b9de4284ab49a6338116fdc5f13ebc5e34f40b,issue_6095_nominal_discriminability_v1_20260725_final,2026-07-25T14:49:50.021824Z
