planner_key,constraints_first_success_rank,snqi_nominal_rank,seed_count,episode_count,success_mean,success_ci_low,success_ci_high,success_seed_sd,collision_mean,collision_ci_low,collision_ci_high,collision_seed_sd,collision_episode_count,collision_ucb_95,admissible_no_collision_rate,near_miss_mean,near_miss_ci_low,near_miss_ci_high,near_miss_seed_sd,near_miss_episode_count,near_miss_rate,time_to_goal_mean,time_to_goal_ci_low,time_to_goal_ci_high,time_to_goal_seed_sd,snqi_mean,snqi_ci_low,snqi_ci_high,snqi_seed_sd
hybrid_rule_v3_fast_progress_static_escape,1,2,20,960,0.7531249999999999,0.7218749999999999,0.7833333333333333,0.07257123693189033,0.196875,0.17708333333333334,0.215625,0.04558094384192223,189,0.21918538476740526,0.803125,19.564583333333335,17.095078125000004,22.054635416666663,5.734393150336972,501,0.521875,0.742663229113925,0.7283912018031379,0.7563052012739362,0.03262861160926738,-0.15629768056303633,-0.17172782357886232,-0.14034343990335857,0.03707323672364829
scenario_adaptive_hybrid_orca_v1,2,1,20,960,0.7489583333333333,0.71875,0.778125,0.06842360052048661,0.20624999999999996,0.18541666666666665,0.2260416666666666,0.04869458163596596,198,0.2289079624868498,0.7937500000000001,19.079166666666666,16.686770833333334,21.554322916666667,5.74500641289551,500,0.5208333333333334,0.745357899497198,0.7319804350327443,0.7579962481597721,0.03039793275159211,-0.15423428427704716,-0.16807175296139465,-0.13936675296298992,0.03423976239339604
ppo,3,3,20,960,0.7072916666666667,0.6864583333333334,0.7281249999999999,0.04802143390232206,0.26979166666666665,0.253125,0.28854166666666664,0.04137783664592769,258,0.2933131052540769,0.7302083333333333,5.134375,4.687473958333333,5.585416666666666,1.0593989618898143,431,0.44895833333333335,0.7271233820702496,0.7155375586817845,0.7390240173746113,0.027331098923929018,-0.19869065786646367,-0.21202071904514014,-0.1857056162475662,0.031034496887903898
orca,4,7,20,960,0.64375,0.61875,0.6677083333333333,0.057314090508008876,0.28020833333333334,0.25518229166666667,0.30833333333333335,0.062124235907852446,269,0.30505184831208204,0.7197916666666666,12.173958333333335,10.689166666666667,13.852109375000001,3.793113969729067,503,0.5239583333333333,0.7865299632347101,0.7750706656906591,0.798083601947918,0.02709852490506989,-0.3055808061393109,-0.3286645244827942,-0.28264996104936774,0.053538335472411686
prediction_planner,5,4,20,960,0.4072916666666667,0.3770833333333333,0.43856770833333325,0.07449727957276488,0.4885416666666667,0.459375,0.5177083333333333,0.06941794084886056,469,0.5155985994305514,0.5114583333333333,14.642708333333331,12.777734375000001,16.660755208333327,4.488895874830814,495,0.515625,0.9035205108983714,0.8927461720101928,0.9138118229444906,0.02564511384555684,-0.21137028571244615,-0.22186739779952797,-0.19986389316541928,0.02639029988850537
socnav_sampling,6,5,20,960,0.30000000000000004,0.275,0.32398437499999994,0.05869250328210978,0.7010416666666668,0.6770833333333333,0.7250000000000001,0.05825299919493141,672,0.7243697700177998,0.2989583333333332,1.95625,1.7561718750000002,2.1521614583333326,0.47212600068870997,368,0.38333333333333336,0.8912812351226467,0.880322161275503,0.9024797196118777,0.026420820391946664,-0.22210262731425118,-0.23381102133368528,-0.21075006365158283,0.027960665574374453
sacadrl,7,8,20,960,0.05416666666666666,0.04479166666666667,0.06354166666666668,0.021797848490858203,0.6802083333333333,0.665625,0.69375,0.03330248023884227,653,0.7050545887173165,0.3197916666666667,5.652083333333334,4.897604166666667,6.438593750000001,1.7715375276827483,354,0.36875,0.9803973671980174,0.9774814854578313,0.9835120669998144,0.007205002554357651,-0.4508342170759705,-0.4690442830048475,-0.43264570564124116,0.040977541293628315
goal,8,6,20,960,0.0375,0.02395833333333333,0.051041666666666666,0.0321329930097724,0.578125,0.5625,0.5927083333333334,0.03632101332248221,555,0.6046593806094538,0.421875,7.369791666666667,6.419557291666666,8.403203125,2.362355488865902,475,0.4947916666666667,0.9913757293993968,0.9857500535577973,0.9962325870939818,0.012051847889410945,-0.28410684875843584,-0.29295584826270044,-0.2756717255291212,0.020290536775167744
social_force,9,9,20,960,0.005208333333333333,0.0010416666666666667,0.010416666666666668,0.011460825087920432,0.409375,0.39062499999999994,0.43125,0.04744716590726551,393,0.4361806073922765,0.590625,4.236458333333333,3.6874479166666676,4.840651041666667,1.362353374131973,324,0.3375,0.9998273562433833,0.9995695079028992,0.999980991484185,0.0005229502114055486,-0.8572608073178486,-0.8673738698678322,-0.8465071986265446,0.02461248062860608
