planner_key,algo,human_model_variant,human_model_source,planner_group,kinematics,execution_mode,readiness_status,availability_status,benchmark_success,most_likely_failure_reason,availability_reason,readiness_tier,preflight_status,learned_policy_contract_status,socnav_prereq_policy,status,episodes,commands_evaluated,projection_rate,infeasible_rate,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,,,core,differential_drive,native,native,available,true,,,baseline-ready,ok,not_applicable,fail-fast,ok,144,12677,0.0000,0.0000,0.0000,0.2500,0.2083,0.0417,0.2500,2.2083,1.0000,1.0000,0.0369,0.0109,'-0.1752
orca,orca,,,core,differential_drive,adapter,adapter,available,true,,,baseline-ready,ok,not_applicable,fallback,ok,144,13341,0.7708,0.7708,0.1667,0.0764,0.0694,0.0069,0.0764,4.6736,0.9763,1.0000,0.0375,0.1420,'-0.2466
ppo,ppo,,,experimental,differential_drive,native,native,available,true,,,experimental,ok,pass,fail-fast,ok,144,12567,0.0000,0.0000,0.2222,0.1667,0.0625,0.1042,0.1667,3.5764,0.9356,0.9844,0.0351,0.4324,'-0.3196
prediction_planner,prediction_planner,,,experimental,differential_drive,adapter,adapter,available,true,,,experimental,ok,not_applicable,fail-fast,ok,144,12778,0.0000,0.0000,0.0694,0.2153,0.1111,0.1042,0.2153,7.2361,0.9852,1.0000,0.0375,0.0786,'-0.2039
sacadrl,sacadrl,,,experimental,differential_drive,adapter,adapter,available,true,,,experimental,ok,not_applicable,fallback,ok,144,12211,0.0000,0.0000,0.0208,0.3472,0.1458,0.2014,0.3472,2.1944,0.9985,1.0000,0.0361,0.0743,'-0.2919
social_force,social_force,,,core,differential_drive,adapter,adapter,available,true,,,baseline-ready,ok,not_applicable,fail-fast,ok,144,12489,0.1690,0.1690,0.0000,0.2500,0.2500,0.0000,0.2500,2.7917,1.0000,0.9345,0.0484,0.4697,'-0.8603
socnav_sampling,socnav_sampling,,,experimental,differential_drive,adapter,adapter,available,true,,,experimental,ok,not_applicable,skip-with-warning,ok,144,9874,0.9750,0.9750,0.1528,0.5417,0.2014,0.3403,0.5417,1.1319,0.9570,0.9842,0.0444,0.0722,'-0.1946
socnav_bench,socnav_bench,,,experimental,differential_drive,adapter,degraded,not_available,false,SocNavBench control pipeline parameters failed to load. Ensure the SocNavBench data directories exist. See `docs/socnav_assets_setup.md` and run `uv run python scripts/tools/prepare_socnav_assets.py`.,SocNavBench control pipeline parameters failed to load. Ensure the SocNavBench data directories exist. See `docs/socnav_assets_setup.md` and run `uv run python scripts/tools/prepare_socnav_assets.py`.,experimental,skipped,not_applicable,skip-with-warning,not_available,0,0,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
