# AI-GENERATED NEEDS-REVIEW
step,time_s,min_robot_ped_distance_m,nearest_pedestrian_id
0,0.1,8.940466449516988,3
1,0.2,8.875424087903353,3
2,0.30000000000000004,8.798499862280215,3
3,0.4,8.71015349516711,3
4,0.5,8.610763937064933,3
5,0.6000000000000001,8.500650059784851,3
6,0.7000000000000001,8.380088453761081,3
7,0.8,8.249874866057727,3
8,0.9,8.11022000196644,3
9,1.0,7.961234658181422,3
10,1.1,7.803052343443817,3
11,1.2000000000000002,7.636316137108457,3
12,1.3,7.462122679035395,3
13,1.4000000000000001,7.281488048904225,3
14,1.5,7.095356368127377,3
15,1.6,6.904607812745915,3
16,1.7000000000000002,6.7100672362731695,3
17,1.8,6.512513089377717,3
18,1.9000000000000001,6.312692178458858,3
19,2.0,6.111340186974376,3
20,2.1,5.909181646256697,3
21,2.2,5.70692277160204,3
22,2.3000000000000003,5.5052712031357185,3
23,2.4000000000000004,5.3049475851626635,3
24,2.5,5.106685045469315,3
25,2.6,4.911258878880094,3
26,2.7,4.719532832371554,3
27,2.8000000000000003,4.532481464525137,3
28,2.9000000000000004,4.351195740448553,3
29,3.0,4.1769005651532005,3
30,3.1,4.010968301514324,3
31,3.2,3.854962440619423,3
32,3.3000000000000003,3.7107197167570325,3
33,3.4000000000000004,3.5827911967904518,3
34,3.5,3.444435470935229,2
35,3.6,3.2868213311145804,2
36,3.7,3.1475866037567197,2
37,3.8000000000000003,3.0259022215830975,2
38,3.9000000000000004,2.9210338910014744,2
39,4.0,2.832401526082879,2
40,4.1000000000000005,2.7594974333730367,2
41,4.2,2.701822137522375,2
42,4.3,2.6585480975024938,2
43,4.4,2.629155546034093,2
44,4.5,2.6124392364872144,2
45,4.6000000000000005,2.607390403854207,2
46,4.7,2.6129761537474385,2
47,4.800000000000001,2.62818635592891,2
48,4.9,2.65206969347249,2
49,5.0,2.68378005151815,2
50,5.1000000000000005,2.722550913426331,2
51,5.2,2.767701754545858,2
52,5.300000000000001,2.818637643069505,2
53,5.4,2.874844465373815,2
54,5.5,2.8340497913477583,0
55,5.6000000000000005,2.7987642956225494,0
56,5.7,2.77182273685162,0
57,5.800000000000001,2.7532872994830226,0
58,5.9,2.7431761458838686,0
59,6.0,2.741453607912812,0
60,6.1000000000000005,2.7480254837098737,0
61,6.2,2.763402404808635,0
62,6.300000000000001,2.7865479518756424,0
63,6.4,2.8170017710014066,0
64,6.5,2.854357558990845,0
65,6.6000000000000005,2.8979752450985656,0
66,6.7,2.829942639028385,1
67,6.800000000000001,2.722206391291925,1
68,6.9,2.621060076562417,1
69,7.0,2.527129968481431,1
70,7.1000000000000005,2.4411192209288455,1
71,7.2,2.3637832179757137,1
72,7.300000000000001,2.2959053304564088,1
