variant,planner,success_rate,collision_rate,min_clearance,mean_clearance,near_miss_rate,comfort_exposure_mean,time_to_goal_norm
baseline,baseline_social_force,0.0,1.0,3.9049798564385725,9.300042201821086,0.0,0.011902774909950216,0.9277777777777777
baseline,goal_seek,0.0,1.0,7.159963181738188,11.602001209088755,0.0,0.08163202859171133,0.3444444444444444
clearance_radius__radius_0_30,baseline_social_force,0.0,1.0,4.004979856438573,9.400042201821085,0.0,0.011902774909950216,0.9277777777777777
clearance_radius__radius_0_30,goal_seek,0.0,1.0,7.240994568974846,12.46498696952163,0.0,0.03401298097266372,0.4777777777777778
clearance_radius__radius_0_50,baseline_social_force,0.0,1.0,3.804979856438573,9.200042201821084,0.0,0.011902774909950216,0.9277777777777777
clearance_radius__radius_0_50,goal_seek,0.0,1.0,7.077994761412508,11.515458059078604,0.0,0.07742327438295712,0.34259259259259256
integration_timestep__dt_0_05,baseline_social_force,0.0,1.0,1.3459861040594765,5.060521732730041,0.0,0.005638017063027449,0.9249999999999999
integration_timestep__dt_0_05,goal_seek,0.0,1.0,3.841663420214586,9.28105548391971,0.0,0.011644839267957936,0.4759259259259259
integration_timestep__dt_0_20,baseline_social_force,0.0,1.0,7.255754363074769,12.356707550036086,0.0,0.02118205868205868,0.9333333333333332
integration_timestep__dt_0_20,goal_seek,0.0,1.0,6.582630637499466,12.426446469520391,0.0,0.12154882154882153,0.3481481481481481
observation_noise__pedestrian_dropout_low,baseline_social_force,0.0,1.0,3.9049798564385725,9.300042201821086,0.0,0.011902774909950216,0.9277777777777777
observation_noise__pedestrian_dropout_low,goal_seek,0.0,1.0,7.159963181738188,11.602001209088755,0.0,0.08163202859171133,0.3444444444444444
observation_noise__pose_heading_low,baseline_social_force,0.0,1.0,3.905775465067604,9.289097560822883,0.0,0.011845238095238094,0.9314814814814815
observation_noise__pose_heading_low,goal_seek,0.0,1.0,7.170802262531839,11.617095821080056,0.0,0.07222077054844235,0.3462962962962963
social_force_speed_archetypes__mixed_balanced,baseline_social_force,0.0,1.0,3.501684511590676,8.469650757602409,0.0,0.01251692018262326,0.9277777777777777
social_force_speed_archetypes__mixed_balanced,goal_seek,0.0,1.0,6.198165855866628,11.337917312667372,0.0,0.08257115580314522,0.34814814814814815
social_force_speed_archetypes__rush_hour,baseline_social_force,0.0,1.0,3.501684511590676,8.469650757602409,0.0,0.01251692018262326,0.9277777777777777
social_force_speed_archetypes__rush_hour,goal_seek,0.0,1.0,6.198165855866628,11.337917312667372,0.0,0.08257115580314522,0.34814814814814815
